"NEWPORT W. W (YNIS-Y-FRO-RESERVOIR) NO.1",,,,,,,,,,,,
Grid ref,ST285889,Long,-3.033582,Lat,51.594390,,,,,,,
Station no,4014,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.92,3.66,1.22,3.03,4.18,4.68,,,,,,
February,4.16,0.56,1.75,5.22,2.12,0.22,,,,,,
March,3.80,2.48,1.71,4.74,1.99,0.93,,,,,,
April,3.26,2.95,4.71,0.58,1.70,-999.00,,,,,,
May,2.64,4.21,3.58,2.56,4.98,,,,,,,
June,1.04,1.97,2.37,5.81,3.27,,,,,,,
July,0.92,2.84,5.08,2.95,0.24,,,,,,,
August,5.07,6.47,5.59,5.28,0.78,,,,,,,
September,4.13,3.69,5.22,5.47,1.71,,,,,,,
October,1.56,5.77,3.79,7.06,2.01,,,,,,,
November,8.37,4.44,3.23,9.14,3.67,,,,,,,
December,3.52,3.34,1.43,4.03,5.46,-999.00,,,,,,
Total,43.39,42.38,39.68,55.87,32.11,-999.00,,,,,,
Calc annual,43.39,42.38,39.68,55.87,32.11,5.83,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,-1004.83,NaN,NaN,NaN,NaN,,
