HORTON HALL BRADFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SE157321,Long,-1.7618,Lat,53.7859,Elevation,460,ft,,,,,,,,,,,,
Station no,RR1798,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,1.54,3.31,2.51,2.38,1.91,0,1.5,0.72,0.97,2.71,2.68,1.08,2.24,6.44,,,,,,
February,0.82,1.07,2.19,1.01,0.85,1.22,1.03,2.62,1.52,1.24,0.83,5.08,0.89,1.26,,,,,,
March,0.78,3.84,0.83,1.63,0.78,1.84,0.61,1.62,0.99,0.93,2.63,6.5,4.62,0.84,,,,,,
April,1.9,1.15,0.97,2.47,0.62,0.18,1.43,2.61,2.08,2.03,1.44,1.41,2.5,1.69,,,,,,
May,2.03,1.03,2.06,1.58,4.51,1.87,5.06,0.84,2.11,1.82,3.22,0.84,5.17,1.81,,,,,,
June,1.2,2.07,4.78,2.7,1.67,1.68,1.07,1.96,0.96,3.33,6.85,1.9,3.18,4.83,,,,,,
July,3.02,4.01,2.23,4.06,2.36,5.8,1.36,1.34,2.74,2.07,2.79,3.63,2.74,1.56,,,,,,
August,1.11,2.55,4.02,1.9,1.82,1.42,3.2,2.71,1.84,2.54,4.71,1.13,2.28,3.58,,,,,,
September,2.47,0.18,3.76,2.58,0.62,1.57,1.63,3.48,1.03,3.71,2.53,4.43,2.43,5.83,,,,,,
October,1.18,2.37,3.91,3.64,2.58,6.03,2.87,3.29,1.1,2.84,3.2,0.99,7.8,5.19,,,,,,
November,2.36,1.08,6.54,0.96,1.5,1.62,0.85,1.67,0.24,2.56,4.05,4.67,0.6,2.99,,,,,,
December,1.64,0.73,1.83,1.04,1.32,1.31,1.29,0.76,1.72,2.03,3.54,2.39,2.32,2.31,,,,,,
Total,20.05,23.39,35.63,25.95,20.54,24.54,21.9,23.62,17.3,27.81,38.47,34.05,36.77,38.33,,,,,,
,,,,,,,,,,,,,,,,,,,,
1856 arithmetic,,,,,,,,,,,,,,,,,,,,
