WARSASH-HOOK-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU499056,Long,-1.29196,Lat,50.84809,Elevation,60,ft,,,,,,,,,,,,
Station no,RR8494,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.88,3.12,1.31,4.02,4.22,0.6,4.01,1.22,1.02,,
February,,,,,,,,,,0.3,3.59,2.01,2.56,1.26,3.9,5.26,4.52,1.19,,
March,,,,,,,,,,3.8,0.83,1.93,3.79,3.14,4.72,0.88,3.32,3.14,,
April,,,,,,,,,,1.09,2.41,1.53,0.08,2.64,1.25,1.2,0.67,1.9,,
May,,,,,,,,,,1.25,1.8,1.77,1.06,2.35,1.23,3.42,1.08,2.51,,
June,,,,,,,,,,3.65,2.76,1.84,3.42,0.45,1.07,1.65,1.73,2.24,,
July,,,,,,,,,,2.48,2.53,0.17,2.84,1.34,2.75,3.54,0.74,3.14,,
August,,,,,,,,,,2.6,2.12,0.46,6.28,2.49,2.31,1.34,2.3,5.4,,
September,,,,,,,,,,3.19,0.11,1.35,2.22,3.01,1.48,3.56,1.9,1.67,,
October,,,,,,,,,,8.61,4.88,3.57,3.26,3.82,2.97,3.61,4.65,4.39,,
November,,,,,,,,,,0.5,3.89,4.66,2.23,3.08,3.74,2.91,4.1,0.75,,
December,,,,,,,,,,3.8,4.65,7.85,4.13,1.9,8.78,9.18,4,1.25,,
Total,,,,,,,,,,32.15,32.69,28.45,35.89,29.7,34.8,40.56,30.23,28.6,,
,,,,,,,,,,,,,,,,,,,,
1911 To Nov Time of observations 11pm,,,,,,,,,,,,,,,,,,,,
1911 After Nov Time of observations 9am,,,,,,,,,,,,,,,,,,,,
