EASTHAM MILL HEY,,,,,,,,,,,,
Grid ref,SJ359794,Long,-2.963441,Lat,53.307645,,,,,,,
Station no,RR6149,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.97,,
February,,,,,,,,,,0.62,,
March,,,,,,,,,,2.56,,
April,,,,,,,,,,2.23,,
May,,,,,,,,,,1.54,,
June,,,,,,,,,,3.88,,
July,,,,,,,,,2.85,3.48,,
August,,,,,,,,,2.55,3.13,,
September,,,,,,,,,3.16,2.67,,
October,,,,,,,,,1.96,3.69,,
November,,,,,,,,,2.15,1.07,,
December,,,,,,,,,2.05,6.31,,
Total,,,,,,,,,,33.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.72,33.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
