EASTHAM-MILL-HEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ359794,Long,-2.9634406,Lat,53.307645,Elevation,125,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,,,1.97,2.4,0.59,5.33,3.09,1.46,3.86,1.14,2.6,1.92,3.18,3.3,3.74,4.96,2.17,2.4,,,,,
February,,,,,,,,,,0.62,2.18,2,1.17,1.28,1.97,2.65,3.41,1.9,2.53,1.5,3.37,0.17,2.94,5.15,0.96,,,,,
March,,,,,,,,,,2.56,0.71,0.94,4.13,3.16,3.28,1.44,2.11,3,1.14,6.08,4.78,1.78,2.3,1.32,0.82,,,,,
April,,,,,,,,,,2.23,2.92,1.27,0.25,3.3,0.72,1.6,1.88,1.65,1.4,1.82,5.13,1.82,2.63,2.49,2.14,,,,,
May,,,,,,,,,,1.54,2.16,0.66,2.65,3.61,2.29,1.86,3.14,4.54,3.81,1.04,2.98,2.25,1.29,4.23,6.56,,,,,
June,,,,,,,,,,3.88,2.88,3.33,3.47,1.96,2.53,0.96,1.91,2.03,2.69,2.03,5.53,0.32,2.31,0.78,2.52,,,,,
July,,,,,,,,,2.85,3.48,4.05,0.74,2.35,2.31,5.58,4.55,1.75,1.2,4.32,1.83,6.46,1.25,5.24,3.63,5.93,,,,,
August,,,,,,,,,2.55,3.13,3.95,2.95,6.51,3.01,2.17,5.06,2.87,8.54,2.37,4.77,2.18,4.89,3.7,4.44,6.68,,,,,
September,,,,,,,,,3.16,2.67,0.44,4.29,1.47,1.76,2.52,0.59,3.89,1.16,7.31,3.03,4.21,1.22,3.68,4.63,5.08,,,,,
October,,,,,,,,,1.96,3.69,2.78,2.62,3.18,2.83,1.51,2.22,4.83,6.57,2.49,3.81,2.6,3.35,0.59,5.67,4.58,,,,,
November,,,,,,,,,2.15,1.07,5.55,2.54,3.27,3.13,3.58,2.57,2.35,3.12,2.48,2.39,0.67,2.6,1.92,3.68,2.58,,,,,
December,,,,,,,,,2.05,6.31,3.55,4,2.01,2.26,4.94,5.12,2.23,1.57,6.47,6.2,2.57,3.78,4.73,5.17,3.76,,,,,
Total,,,,,,,,,,33.15,33.57,25.93,35.79,31.7,32.55,32.48,31.51,37.88,38.93,37.68,43.78,27.17,36.29,43.36,44.01,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Mill Hey. Stated altitude about 10 ft. too high or gauge is 250m S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
