WINDERMERE HIGH HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY437005,Long,-2.8686523,Lat,54.396843,Elevation,636,ft,,,,,,,,,,,,
Station no,RR7692,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,7.15,7.17,6.41,8.19,5.97,3.76,11.96,9.85,,,,,,
February,,,,,,,7.46,6.11,6.31,8.99,4.76,6.35,5.91,1.13,,,,,,
March,,,,,,,3.85,2.52,8.04,1.19,3.03,3.85,5.78,3.37,,,,,,
April,,,,,,,2.18,6.46,3.4,3.47,2.44,3.03,2.44,0.5,,,,,,
May,,,,,,,1.72,2.15,2.13,1.79,4.98,1.66,2.61,2.35,,,,,,
June,,,,,,,3.25,1.8,0.73,2.58,2.12,1.98,5.24,3.35,,,,,,
July,,,,,,,3.18,5.29,0.67,2.01,1.22,6.4,4.17,6.75,,,,,,
August,,,,,,,5.49,3.74,7.69,2.02,1.71,5.09,6.47,5.95,,,,,,
September,,,,,,,9.62,5.26,3.4,12.27,4.14,3.92,8.9,2.97,,,,,,
October,,,,,,,4,5.88,7.12,3.87,9.65,8.24,8.06,8.31,,,,,,
November,,,,,,,7.7,1.73,3.75,8.14,4.97,2.31,7.46,2.62,,,,,,
December,,,,,,,8.56,4.44,11.77,7.52,2.31,7.43,6.58,2.48,,,,,,
Total,,,,,,,64.16,52.55,61.42,62.04,47.3,54.02,75.58,49.63,,,,,,
,,,,,,,,,,,,,,,,,,,,
1870 July mis-transcribed,,,,,,,,,,,,,,,,,,,,
