"BOLLINGTON CROSS, TURNER HEATH",,,,,,,,,,,,
Grid ref,SJ920768,Long,-2.121464,Lat,53.288105,,,,,,,
Station no,RR7264,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.49,1.73,,
February,,,,,,,,,3.01,1.52,,
March,,,,,,,,,3.01,2.56,,
April,,,,,,,,,1.75,2.85,,
May,,,,,,,,,2.60,1.33,,
June,,,,,,,,,2.37,2.96,,
July,,,,,,,,,4.31,4.69,,
August,,,,,,,,,3.02,2.66,,
September,,,,,,,,,4.04,2.44,,
October,,,,,,,,,0.88,5.09,,
November,,,,,,,,,2.78,1.35,,
December,,,,,,,,,2.79,6.54,,
Total,,,,,,,,,33.05,35.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.05,35.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
