BOLLINGTON-CROSS-TURNER-HEATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ920768,Long,-2.1214638,Lat,53.288105,Elevation,500,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,2.49,1.73,3.23,1.39,2.59,2.62,2.43,5.39,2.6,2.53,2.08,2.68,4.15,4.39,,,,,,,,,
February,,,,,,,,,3.01,1.52,3.05,2.86,1.07,1.31,2.51,3.87,4.56,1,3.7,1.17,3.96,0.49,,,,,,,,,
March,,,,,,,,,3.01,2.56,0.69,1.99,4.57,4.19,4.56,1.5,2.28,2.22,1.48,5.24,2.85,2.29,,,,,,,,,
April,,,,,,,,,1.75,2.85,3.87,2.68,0.55,4.35,1.56,1.47,3.19,2.14,1.41,2.61,4.87,1.47,,,,,,,,,
May,,,,,,,,,2.6,1.33,2.42,0.75,2.34,2.56,2.74,1.36,2.47,2.3,2.84,1.4,5.28,1.49,,,,,,,,,
June,,,,,,,,,2.37,2.96,2.22,3.27,3.94,2.55,1.21,2.09,2.73,2.28,1.62,2.65,2.94,0.47,,,,,,,,,
July,,,,,,,,,4.31,4.69,6.01,0.6,3.93,1.47,4.47,5.55,1.91,1.69,3.93,2.39,5.81,0.8,,,,,,,,,
August,,,,,,,,,3.02,2.66,5.79,2.38,6.61,2.25,5.39,3.33,3.18,6.05,3.31,3.29,2.13,4.94,,,,,,,,,
September,,,,,,,,,4.04,2.44,0.33,3.04,1.63,1.37,3.33,0.62,2.63,2.2,7.75,2.77,2.72,0.83,,,,,,,,,
October,,,,,,,,,0.88,5.09,1.99,2.62,3.19,2,1.57,1.27,4.15,5.37,2.06,1.87,1.27,2.37,,,,,,,,,
November,,,,,,,,,2.78,1.35,4.83,3.19,2.56,2.96,4.02,1.98,2.77,3.47,1.88,3.17,1.59,1.25,,,,,,,,,
December,,,,,,,,,2.79,6.54,3.38,5.47,4.29,2.59,5.89,5.62,3.01,1.93,7.07,6.89,1.98,4.65,,,,,,,,,
Total,,,,,,,,,33.05,35.72,37.81,30.24,37.27,30.22,39.68,34.05,35.48,33.18,39.13,36.13,39.55,25.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Turner Heath House where the 1st observer lived. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
