LOXLEY-VALLEY-HOBSON-MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK217946,Long,-1.6747381,Lat,53.447722,Elevation,1530,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3126/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.25,5.44,3.51,4.81,2.91,5.6,8.39,6.77,8.05,,,4.5,6.98,8.35,5.19,6.5,4.9,10.73,2.89,2.4,4.68,6,2.1,,,,3.75,6.15,4.79,9.06
February,6.02,0.92,8.51,0.45,7.98,5.16,9.07,3.33,4.36,,,2.54,4,2.56,6.3,7.82,4.39,3.87,2.69,,3.25,1.89,2.62,,,2.27,4.39,,0.38,
March,0.27,3.56,3.58,4.14,2.37,4.43,4.83,1.45,4.04,3.89,7.42,,2.36,1.15,1.48,2.05,7.88,1.6,1.55,2.32,5.58,2.39,2.85,2.82,4.65,2.45,3.97,3.11,2.14,3.04
April,6.3,6.23,1.73,3.39,4.04,2.56,3.22,0.47,2.73,3.69,3.03,2.86,3.63,3.33,3.07,2.68,4.29,2.66,4.38,5.19,2.11,2.46,3.41,0.75,1.53,3.15,0.3,1.5,4.97,2.73
May,3.16,7.32,1.96,2.49,0.7,2.3,4.05,3.6,2.84,1.07,4.05,4.49,3.93,4.2,4.2,3.13,2.89,1.74,2.91,2.72,4.55,2.81,3.1,5.48,4.54,1.25,1.73,4.06,1.38,2.18
June,5.86,0.91,3.64,1.66,4.53,4.68,1.52,4.06,3.34,1.04,0.55,1.51,2.94,3.05,4.21,5.5,3.64,5.82,0.67,1.5,1.1,2.52,3.13,2.87,4.05,4.75,1.32,5.98,1.87,1.69
July,5.96,5.39,3.42,2.88,2.22,4.76,3.78,5.89,7.08,3.62,3.7,5.66,2.08,3.85,1.96,3.93,2.98,1.74,5.31,2.69,2.51,2.35,4.31,4.15,1.18,9.4,4.08,6.17,3.24,6.51
August,8.72,3.18,0.7,2.79,2.42,2.01,1.35,3.96,3.04,1.48,6.35,5.05,5.07,3.54,3.98,5.2,0.48,6.51,2.63,4.14,5.37,3.48,4.27,8.33,1.05,8.65,8.35,3.1,1.15,4.83
September,6.16,3.76,2.66,3.82,6.7,6.22,1.95,3.8,2.86,4.74,0.55,3.42,5.43,6.62,2.55,7.16,2.03,2.47,1.9,6.58,2.87,6.65,2.25,4.35,1.8,4.9,6.63,4.65,0.09,4.5
October,2.09,7.63,6.54,5.51,11.04,5.68,4,9.86,4.95,5.71,6.56,6.48,2.95,4.89,7.98,2.35,1.06,2.59,4.33,2.15,1.05,7.59,2.36,7.23,3.54,3.05,4.38,3.82,4.64,10.22
November,6.46,4.7,2.77,3.43,8.68,6.61,2.76,6.53,8.98,10.53,5.05,2.12,4.72,9.25,0.91,10.33,6.1,1.94,7.75,7.58,11.14,,3.38,7.97,2.79,2.52,3.18,1.13,5.36,6.21
December,2.63,2.19,0.67,6.24,5.36,5.76,5.79,5.05,4.06,5.71,2.93,4.57,2.8,4.96,3.8,4.56,5.25,3.65,8.75,2.22,6.21,3.46,2.12,7.62,5.7,,5.92,5.43,7.59,6.48
Total,61.88,51.23,39.69,41.61,58.95,55.77,50.71,54.77,56.33,,,,46.89,55.75,45.63,61.21,45.89,45.32,45.76,,50.42,,35.9,,,,48,,37.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Hobson Moss at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2794, continues to 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan, Feb and Mar 1947 estimated for snow but left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
