LEIGHTON-BUZZARD-HEATH-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP924269,Long,-0.657478,Lat,51.932951,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1162/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.51,2.54,2.4,4,1.52,1.62,1.6,1.47,4.07,0.94,0.74,3.15,1.67,1.38,1.09,2.49,4.18,1.51,2.79,3.6,3.14
February,,,,,,,,,,2.02,1.93,0.9,1,1.39,1.63,2.18,1.49,1.03,1.03,3.86,3.65,0.64,1.74,2.13,1.46,0.53,2.86,2.56,0.05,2.19
March,,,,,,,,,,2.62,2.99,1.54,0.7,0.26,0.72,1.32,5.87,0.73,1.39,0.85,3.43,2.85,0.74,2.36,1.18,0.68,1.43,1.81,2.05,1.19
April,,,,,,,,,,1.8,1.71,1.42,1.32,1.72,1.18,1.04,1.77,1.57,1.32,2.2,2.97,1.81,2.52,0.28,0.62,1.25,0.22,1.04,2.91,0.61
May,,,,,,,,,,1.13,1.91,2.08,2.36,0.87,2.03,2.24,1.28,3.92,2.24,3.11,2.18,2.34,1.69,2.97,4.87,0.51,1.44,2.1,0.65,1.3
June,,,,,,,,,,1.35,1.39,0.31,1.95,1.51,2.46,2.86,1.22,3.55,1.14,1.71,1.31,0.96,1.79,3.17,2.63,2.56,1.88,4.78,1.78,2.43
July,,,,,,,,,,2.28,3.78,2.43,0.88,2.02,2.09,1.85,1.79,1.54,1.91,5.12,1.2,0.42,2.84,3.62,0.19,3.16,2.57,2.02,3.4,4.24
August,,,,,,,,,,0.08,4.16,1.72,2.07,2.12,1.7,3.65,0.24,2.15,1.82,3.15,3.89,3.98,3.08,3.75,0.7,4.75,2.05,3.35,1.31,5.27
September,,,,,,,,,,0.58,0.48,,1.41,2.52,2.12,4.55,1.23,2.18,0.85,2.9,2.35,3.25,1.49,2.14,2.16,2.17,2.2,3.1,0.3,3.57
October,,,,,,,,,,2.37,1.59,2.41,2.09,4.42,3.13,1.54,0.33,2.33,5.36,0.54,1.3,3.15,2.14,2.22,2.33,1.87,2.12,2.16,2.14,4.55
November,,,,,,,,,,7.34,2.3,1.62,1.53,3.22,0.56,4.98,1.18,1.63,2.94,4.24,4.29,3.17,1.29,3.87,1.22,0.95,1.84,2.05,1.96,3.34
December,,,,,,,,,,1.5,1.34,2.45,1.06,1.04,3.04,2.01,2.89,2.06,1.7,1.72,1.35,2.61,0.64,2.17,2.91,3.19,2.73,2.54,4.05,4.35
Total,,,,,,,,,,25.58,26.12,,20.37,22.61,22.28,29.82,20.76,26.76,22.64,30.14,31.07,26.85,21.34,29.77,22.76,25.8,22.85,30.3,24.2,36.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
