LEIGHTON-BUZZARD-HEATH-ROAD (PULFORD SCHOOL),,,,,,,,,,
Grid ref,SP9206824798,Long,-0.66286694,Lat,51.914112,Elevation,275,ft,,
Station no,1162/7,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.06,2.92,2.59,4.95,
February,,,,,,1.96,3.74,0.71,0.78,
March,,,,,,1.23,2.64,0.37,1.62,
April,,,,,,1.46,3.12,0.14,2.94,
May,,,,,,1.23,3.72,1.71,1.22,
June,,,,,,3.84,2.52,0.75,2.33,
July,,,,,,5.07,1.21,1.86,2.48,
August,,,,,,0.21,1.63,3.86,3.36,
September,,,,,,2.98,1.55,1.51,0.75,
October,,,,,,1.77,2.51,2.84,5.59,
November,,,,,,2.15,1.72,2.43,4.19,
December,,,,,,1.36,2.76,3.6,2.36,
Total,,,,,,26.32,30.04,22.37,32.57,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1939 Total corrected,,,,,,,,,,
1940 Gauge moved,,,,,,,,,,
