BUXTON-CAT-AND-FIDDLE-INN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK005717,Long,-1.9939663,Lat,53.242324,Elevation,1610,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/2/1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.81,5.73,3.04,4.62,3.75,5.26,5.1,6.85,8.54,,,,6.73,7.5,5.4,6.25,4.5,11.4,4.25,4.05,8.3,6.15,3.34,4.7,,9.9,4.03,6.5,5.6,9.49
February,6.21,0.18,6.75,0.44,5.65,3.72,6.77,2.3,3.75,,,,3.95,2.85,5.45,8.75,2.3,4.3,2.25,7.7,5.5,4,3.23,4.37,3.35,,3.8,10.35,1.25,5.65
March,0.25,3.62,2.88,3.7,2.2,2.02,3.43,1.95,3.3,3.75,,,1.55,,2.4,1.5,8.1,,3.35,2.6,8.15,4.1,3.1,3.7,4,2.35,5.5,3.5,,2.19
April,5.82,5.62,2.48,2.83,4.59,1.53,6.05,0.5,3.05,3.3,3.4,2.75,3.1,4.15,2.9,2.45,3.25,2.3,4.4,4.9,4.05,4.98,4,1.18,,2.25,0.55,2.25,3.58,3.05
May,3.4,5.61,2.13,3.23,0.59,0.42,2.35,4.2,1.75,1.75,3.95,5.65,3.95,3.25,3.8,2,3.05,2.05,3.65,1.6,2.7,2.69,2.73,4.4,,1.5,,5.25,0.8,2.21
June,7.44,1.09,4.43,2.22,5.7,3.58,1.95,5.3,3.5,1.65,2.9,0.9,5.15,5,-999,6.2,2.3,,,3.73,2.6,4.12,4.94,4.66,,4.2,2.5,7.8,2.11,3.21
July,5.69,5.05,4.15,3.1,2.67,8.65,4.75,6.2,9.9,5.75,4.2,7.3,2.55,5.7,-999,6.9,4.45,5.4,3,4.2,3.8,4.9,7.09,7.15,,8,,7.3,4.6,
August,7.75,1.84,1.91,3.89,2.6,3.2,1.2,4.35,3.2,2.9,8.5,4.5,5.8,4.5,2.9,7,0.6,7.45,,5.7,7.05,2.93,5.8,7.3,,12.65,7.75,4.85,1.8,5.2
September,5.78,5.03,0.82,4.97,9.06,6.81,2,3.25,1.8,4.6,1,4.3,6.55,6.15,2.65,8.3,2.75,3.65,1.55,7.4,3.25,4.7,3.8,6.86,4.6,4.75,11.85,6.75,0.26,5.04
October,2.95,8.95,7.72,6.65,9.03,6.95,2.95,7.95,3.7,5.25,7.1,9.1,3.5,6.6,8.1,0.9,1,3.95,6.8,3,1.5,5.42,3,9.9,3.5,,5.5,6.5,4.97,7.17
November,8.09,4.34,2.41,2.58,7.13,6.24,2.45,5.8,8.85,9.15,4.85,1.6,4.6,8.15,1.05,8.7,6,3.65,6.45,7.75,12.9,3.62,3.55,8.05,3.25,2.4,2.45,2.4,6.7,7.64
December,2.62,2.27,0.55,9.2,6.64,5.95,4.85,6.96,3.35,6.05,3.55,5.57,,4.2,4.85,5.2,4,5.15,7.05,4.75,6.2,4.62,2.8,6.75,,,7,5.1,8.86,6.02
Total,64.81,49.33,39.27,47.43,59.61,54.33,43.85,55.61,54.69,,,,,,45.75,64.15,42.3,,,57.38,66,52.23,47.38,69.02,,,,68.55,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near the Cat and Fiddle Inn. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 150 yards W on 1/12/1938. gauge switched from Cheshire to Derbyshire at the beginning is 1938 due to boundary change.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire locations had station No 2725/2; no suggestion that gauge moved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
