UPPER GLEN FYNE ,,,,,,,,,,,,
Grid ref,NN236213,Long,-4.856277,Lat,56.351065,,,,,,,
Station no,5428/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.10,7.50,11.90,9.68,6.99,9.25,17.84,13.29,3.96,9.57,,
February,8.71,7.14,8.95,9.31,3.90,5.60,8.97,5.68,7.34,8.72,,
March,5.25,8.35,4.38,10.07,2.18,5.29,12.71,2.75,10.22,3.58,,
April,9.97,5.63,6.57,5.51,8.70,5.03,6.01,6.48,8.60,9.57,,
May,1.96,3.33,5.48,5.65,7.25,8.30,3.69,10.11,2.81,5.53,,
June,3.68,6.96,1.20,8.90,6.25,7.24,5.47,3.43,7.45,4.83,,
July,6.61,8.85,15.75,9.01,1.60,8.96,9.48,5.53,10.86,7.65,,
August,8.95,7.90,11.32,8.80,3.34,8.23,10.48,10.16,6.51,7.24,,
September,9.80,9.37,15.93,17.31,12.66,10.31,8.23,8.19,3.29,5.30,,
October,5.19,12.38,10.00,19.87,12.10,9.12,18.36,13.97,13.59,6.83,,
November,15.04,4.01,23.41,20.57,5.99,9.46,6.17,3.67,14.29,13.42,,
December,21.40,11.11,13.78,20.70,22.40,21.82,19.35,13.38,17.66,15.68,,
Total,107.66,92.53,128.67,145.38,93.36,108.61,126.76,96.64,106.58,97.92,,
Calc annual,107.66,92.53,128.67,145.38,93.36,108.61,126.76,96.64,106.58,97.92,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
