GLENSTRATHFARRER INVERNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 233 386,Long,-4.941861,Lat,57.403126,Elevation,461,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,8.41,4.64,12.53,5.86,3.97,4.62,7.01,8.84,10.44,6.72,6.41,5.12,8.24,1.67,5.11,0.37,6.02,4.2,4.85,,5.92,,,
February,,,,,,2.69,9.02,9.27,17.37,8.86,2.79,6.25,4.05,1.82,1.67,2,4.52,3.21,4.05,3.37,5.93,2.9,10.22,5.86,4.69,,2.16,,,
March,,,,,,3.87,3.62,2.24,7.53,3.31,1.61,5.92,1.84,1.9,8.07,3.09,9.01,0.64,7.99,7.11,3.43,4.22,11.85,5.47,5.36,,2.91,,,
April,,,,,,1.59,3.04,8.03,5.41,3.11,6.88,2.21,4.08,2.99,5.92,2.14,1.73,0.47,1.4,1.24,3.25,3.8,3.65,4.45,5.12,,4.57,,,
May,,,,,,2.48,2.84,2.91,3.41,2.2,2.55,1.47,3.51,5.03,2.64,4.88,2.19,2.62,3.83,3.17,2.68,2.72,3,4.16,4.9,,2.64,,,
June,,,,,,1.18,1.87,5.29,4.83,1.43,2.73,2.67,6.3,3.66,3.87,1.75,3.13,6.55,2.81,4.07,2.98,3.24,4.2,4.59,2.91,,4.22,,,
July,,,,,,3.11,2.48,3.27,0.38,2.24,2.65,4.23,4,3.58,3.75,4.96,1.71,4.05,1.75,6.1,3.49,3.25,3.19,4.12,3.61,,3.84,,,
August,,,,,,3.24,5.36,1.83,8.35,1.7,1.97,3.66,2.38,5.23,6.34,5.52,3.19,2.33,5.66,11.38,1.14,3.32,5.77,4.23,2.14,,3.78,,,
September,,,,,,1.96,6.13,6.09,2.47,9.43,4.2,2,9.52,5.96,6.08,4.89,1.26,3.86,7.79,5.02,2.38,3,3.22,3.59,3.17,,5.5,,,
October,,,,,,5.56,4.21,8.98,8.16,7.8,5.49,5.73,7.43,6.81,10.87,4.38,3.28,4.72,6.82,3.86,4.49,6.09,5.02,8.26,4.53,,5.36,,,
November,,,,,,3.93,10.22,3.29,6.01,14.2,3.62,1.93,8.15,7.4,7.71,4.2,1.51,6.83,5.9,4.66,8.09,5.97,8.03,8.12,7.05,,6.25,,,
December,,,,,,6.45,12.54,8.52,6.79,8.03,5.29,8,5.62,9.21,2.26,6.82,4.97,7.14,3.37,4.33,6.53,6.17,6.27,9.4,4.7,,7.34,,,
Total,,,,,,,69.74,64.36,83.24,68.17,43.75,48.69,63.89,62.43,69.62,51.35,42.91,47.54,59.61,55.98,49.5,45.05,70.44,66.45,53.03,,54.49,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
