"COCKFIELD",,,,,,,,,,,,
Grid ref,TL899557,Long,0.775289,Lat,52.166887,,,,,,,
Station no,1340/4/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.04,2.16,0.95,1.50,2.08,3.50,1.62,2.04,2.37,2.57,,
February,3.47,0.92,1.09,1.94,2.01,0.90,2.01,3.10,0.17,0.99,,
March,3.53,2.96,0.43,2.59,1.48,0.75,1.61,0.74,1.42,1.55,,
April,3.00,1.24,2.49,0.51,0.23,0.67,0.21,1.22,2.08,0.64,,
May,2.57,1.05,1.61,2.12,2.34,0.64,1.16,2.10,0.37,0.57,,
June,1.24,1.35,3.81,2.41,2.20,2.42,1.02,4.12,1.26,3.43,,
July,2.00,0.71,2.58,3.52,0.12,2.11,2.66,3.09,2.11,2.89,,
August,2.76,4.70,2.29,4.93,2.27,4.21,3.47,3.04,0.88,2.67,,
September,2.98,2.38,1.99,1.20,2.26,1.76,3.55,3.11,0.04,4.88,,
October,0.48,1.94,2.69,1.93,3.77,1.81,1.76,1.81,1.82,5.19,,
November,3.76,4.49,1.65,3.77,0.84,0.72,2.23,1.44,2.11,3.12,,
December,1.77,2.17,0.80,2.35,1.75,1.72,1.91,2.84,3.53,2.75,,
Total,29.60,26.07,22.38,28.77,21.35,21.21,23.21,28.65,18.16,31.25,,
Calc annual,29.60,26.07,22.38,28.77,21.35,21.21,23.21,28.65,18.16,31.25,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
