COCKFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL912549,Long,0.7949,Lat,52.1596,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1340/4/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.67,2.49,1.57,2.06,0.86,2.15,2.85,0.58,0.63,2.42,2,1.2,3.71,1.39,0.91,0.74,1.79,1.45,2.73,2.66,1.72,2.76,1.24,1.8,2.56,2.72,2.25,2.08,3.37,1.66,2.39,1.18,2.23,1.33,3.27,1.6,,,,,,,,,2.59,5.61,1.42,,,,,,,1.55,4.09,0.98,0.97,2.04,2.16,0.95,1.5,2.08,3.5,1.62,2.04,2.37,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.52,0.07,0.75,2.22,0.86,1.18,2.74,0.66,0.87,0.47,2.59,1.04,2.14,1.2,1.67,0.48,1.61,1.16,1.36,0.69,2.08,2.43,4.11,0.52,0.82,2.64,0.43,0.12,1.85,3.08,0.95,2.5,2.28,2.73,1.1,0.44,,,,,,,,,0.78,0.93,0.93,,,,,,,1.16,1.26,0.78,2.69,3.47,0.92,1.09,1.94,2.01,0.9,2.01,3.1,0.17,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.01,1.66,3.31,2.61,1.65,1.38,0.99,2,1.23,1.95,1.83,1.73,1.98,1.01,1.87,2.59,0.8,2.47,2.83,1.89,3.88,1.53,3.36,2.09,0.85,2.33,1.51,0.88,2.14,1.49,0.54,1.13,0.27,2.18,1.86,0.07,,,,,,,,,0.49,2.2,3.01,,,,,,,3.88,0.63,1.07,0.54,3.53,2.96,0.43,2.59,1.48,0.75,1.61,0.74,1.42,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.5,1.07,1.11,2.25,1.4,2.53,1.24,1.87,1.03,2.62,0.98,2.1,0.97,3.28,2.91,1.4,2.13,1.39,0.37,2.52,0.72,0.88,1.36,1.26,3.18,3.83,4.39,1.6,2.88,1.05,2.8,2.71,3.54,2.53,1.14,1.49,,,,,,,,,0.48,2.82,1.35,,,,,,,1.63,1.18,1.43,1.83,3,1.24,2.49,0.51,0.23,0.67,0.21,1.22,2.08,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.7,0.76,0.72,1.66,2.14,2.05,1.08,1.03,2.75,2.13,1.62,1.59,1.1,2.64,1.18,1.18,3.47,0.83,0.75,1.69,1.55,1.82,1.57,0.72,2.27,0.68,1.11,0.92,1.13,1.31,3.46,2.16,1.38,0.73,1.58,1.18,,,,,,,,,1.64,0.9,1.28,,,,,,,0.6,2.72,2.02,1.71,2.57,1.05,1.61,2.12,2.34,0.64,1.16,2.1,0.37,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.42,0.66,3.15,1.99,2.57,1.41,2.87,2.27,3.89,3.65,1.14,2.67,2.94,2.07,0.73,6.11,2,2.84,1.57,1.35,0.93,1.1,2.57,1.57,1.13,1.17,1.4,0.32,1.03,0.69,1.79,0.55,2.32,3.32,2.2,0.91,,,,,,,,,0.84,1.46,0,,,,,,,2.95,2.68,0.69,1.15,1.24,1.35,3.81,2.41,2.2,2.42,1.02,4.12,1.26,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,4.46,3.39,0.91,1.13,1.53,2.69,1.63,0.67,1.46,4.78,3.16,0.85,0.42,1.8,3.8,3.66,3.36,0.55,2.39,1.3,1.86,4.05,1.13,2.66,5,3,3.27,0.35,3.2,2.09,3.39,1.21,2.72,3.6,2.28,2.19,,,,,,,,,1.17,2.32,4.18,,,,,,,1.88,1.59,0.95,2.57,2,0.71,2.58,3.52,0.12,2.11,2.66,3.09,2.11,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.95,3.87,2.37,2.27,1.7,1.76,3.46,0.86,4.27,3.85,1.94,2.18,1.05,2.34,2.08,2.42,2.69,1.36,7.1,0.69,0.76,2.74,4.2,5.58,1.41,2.25,1.87,2.3,1.93,2.55,2.07,3.49,1.72,2.55,2.44,1.05,,,,,,,,,1.84,2.89,1.67,,,,,,,0.17,5.2,1.29,2,2.76,4.7,2.29,4.93,2.27,4.21,3.47,3.04,0.88,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.17,0.61,4.34,3.33,0.24,3.25,0.4,0.92,1.24,2.75,1.04,1.41,1.57,0.62,1.3,2.75,1.12,1.71,2.49,1.65,0.91,1.3,1.77,1.41,4.07,0.71,2.21,1.49,3.59,1.96,3.08,3.03,1.23,3.46,0.53,0.24,,,,,,,,,2.25,0.77,0.44,,,,,,,1.77,1.49,0.88,3,2.98,2.38,1.99,1.2,2.26,1.76,3.55,3.11,0.04,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.05,2.41,2.95,0.61,2.05,1.83,2.14,2.05,1.75,5.01,1.09,1.8,3.79,2.65,1.26,3.98,1.23,2.45,1.85,3.73,1.91,1.09,2.88,3.39,2.46,1.6,0.51,1.51,0.67,4.17,3.93,2.56,2.9,2.41,2.2,2.74,,,,,,,,,2.6,5.82,1.87,,,,,,,0.11,1.65,3.98,0.49,0.48,1.94,2.69,1.93,3.77,1.81,1.76,1.81,1.82,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
