FLADDA LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM720123,Long,-5.6817,Lat,56.2484,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5454/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,5.88,5.91,1.99,1.95,0.26,5.13,5.26,5.65,4.56,4.8,2.96,5.1,1.55,1.95,2.81,1.15,0.5,2,0.9,,,,,,,
February,,,,,,,3.32,1.71,5.67,3.43,2.85,2.37,3.9,2.12,5.31,2.02,0.04,2.15,2,0.65,2.62,0.52,0.76,0.52,0.66,,,,,,,
March,,,,,,,1.07,4.96,2.82,5,2.31,3.15,2.92,0.84,3.6,1.55,1.67,2.32,1.16,1.65,2.02,0.94,0.61,1.05,0.08,,,,,,,
April,,,,,,,1.92,0.53,1.98,2.5,1.21,2.45,4.7,3.49,2.3,1.3,4.52,2.58,2.92,1.18,1.28,0.78,0.89,0.47,1.61,,,,,,,
May,,,,,,,2.04,2.78,1.99,2.52,1.58,3.65,3.32,4.01,2.15,0.85,1.74,1.35,1.28,0.85,0.8,0.78,2.62,1.56,1.49,,,,,,,
June,,,,,,,5.19,7.09,3.3,1.44,2.78,2.65,4.91,4.23,3.5,4.19,4.3,2.67,1.24,2.86,1.02,2.04,0.65,2.67,2.46,,,,,,,
July,,,,,,,7.26,4.54,7.94,3.6,3.92,4.71,2.77,2.86,2.98,3.26,2.62,2.9,1.77,5.21,2.15,0.72,2.3,1.76,0.56,,,,,,,
August,,,,,,,4.7,4.55,1.8,3.95,4.46,6.11,6.46,4.05,1.1,3.04,0.1,2.24,2.41,1.65,1.22,3.42,1.69,1.86,1.04,,,,,,,
September,,,,,,,3.6,5.69,4.32,5.19,2.66,6.88,3.87,5.07,4.3,3.69,4.02,4.34,1.04,3.7,2.21,1.21,3.16,1.89,4.57,,,,,,,
October,,,,,,,3.66,8.47,2.4,7.75,4.48,6.29,8.06,4.1,3.55,0.68,1.56,2.74,3.23,1.39,0.93,0.91,0.64,4.15,6.89,,,,,,,
November,,,,,,,1.95,6.7,8.4,7.26,4.24,2.01,2.63,5.48,0.78,1.9,6.27,1.38,3.92,3.01,1.99,0.63,2.84,2.64,2.97,,,,,,,
December,,,,,,,1.89,3.3,3.49,5.59,2.74,7.74,2.81,3.21,3.17,5.24,1.22,3.3,3.33,1.01,1.87,1.21,1.87,1.19,8.69,,,,,,,
Total,,,,,,,42.48,56.23,46.1,50.18,33.49,53.14,51.61,45.11,37.3,32.52,31.02,33.07,25.85,25.11,20.92,14.31,18.53,21.76,31.92,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stn formerly numbered 5454 prior to 1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
