FLADDA LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM720123,Long,-5.6817,Lat,56.2484,Elevation,8,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,
January,,1.82,1.37,8.2,4.8,5.8,11.5,7.3,1.92,2.19,1.4,6.2,7,14.7,7.5,6.77,4.29,12.9,7.9,1.18,3.29,0.3,5.55,5.42,7.75,5.6,5.2,6.9,5.45,8.2,11.1,4.85,6.6,5.65,8.3,1.9,3.7,1.8,5.63,6.25,8.78,5.15,7.55,6.33,5.9,4.06,7.75,5.25,3.3,3.1,4.75,6.53,5.34,5.59,5.06,6.23,9.05,3.46,4.35,4.95,7.63,8.61,3.01,3.71,3.01,1.98,6.32,9.68,11.89,3.14,5.8,5.03,9.95,5.01,7.05,4.3,2.07,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.27,0.47,6.1,3.9,4.5,6.4,7.9,2.62,2.22,1.88,8.5,7.2,1,2.82,3.58,4.25,11.09,2.27,1.69,3.08,4.5,4.15,3.27,5.22,7.48,2.8,6.7,0.75,4.75,0.5,2,2.4,4.1,7.9,0.6,5.1,5.6,6.53,3.92,2.38,3.88,2.01,7.18,6.45,5.05,5.2,6.88,4.05,2.05,7.44,7.7,3.49,4.41,7.28,4.83,7.6,1.15,7.79,0.71,6.57,2.38,4.42,3.46,1.26,1.75,4.81,4.47,3.92,1.85,0.15,5.56,0.11,4.91,1.3,5.22,2.53,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.19,0.44,7.1,5.8,5.3,7.5,1.9,2.14,0.35,0.86,4.53,3.4,2.57,6.94,3.48,5.49,3.36,3.9,3.86,1.49,4.5,5.69,1.48,5.8,3.05,4.85,4.4,3.6,2.95,6.7,5.15,0.4,3.1,5.9,6.2,10.7,6.6,4.57,7.44,0.4,3.88,7.25,8.4,4.05,4.7,3.2,4.7,6,1,3.25,1.52,6.63,6.43,4.87,5.54,1.12,1.88,2.14,4.55,6.91,5.94,2.2,1.81,0.52,1.18,3.74,4.01,4.78,1.13,3.22,1.51,4.52,2.92,2.6,3.54,2.56,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.11,0.6,5.4,5,3.8,2.4,11,0.66,1.04,1.51,3.5,1,0.76,4.06,2.43,1.11,2.86,3.13,1.03,1.75,0.97,2.97,2.89,0.52,3.48,2.55,4.4,1.65,2.8,1.85,0.55,1.5,1.5,1.4,3.3,4.3,4.1,3.84,6.95,3.73,6.7,2.03,2.31,7,2.98,2.58,3.62,1.05,2.95,4.8,4.4,4.13,4.83,4.31,5.25,5.1,2.21,1.54,5.22,2.96,1.85,3.49,2.37,2.75,3,2.49,5.76,4.48,1.93,2.93,2.79,4.68,4.24,2.85,1.73,1.15,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.47,0.52,3.7,2.3,4.6,2.9,3,2.3,0.16,1.18,1.5,2.4,3.04,1.46,3.27,0.61,2.12,3.41,1.14,0.73,2.52,3.21,2.68,3.29,2.65,3.85,1,6,3.5,1.6,1.55,6.05,3.1,3.3,0.7,1.1,4.7,3.53,2.77,6.44,2.2,5.31,2.74,3,3.3,4.55,3.85,2.1,1.95,3.34,3.86,2.86,4.28,2.2,0.71,4.01,4.18,3.15,2.49,3.3,3.88,5.35,2.74,2.37,3.76,2.44,3.68,1.11,4.92,2.04,3.75,2.78,2.41,3.26,0.98,1.47,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.7,0.54,3.8,5.5,3.2,4.8,4.3,1.4,1.67,1.7,2.4,8.85,2.53,0.66,3.63,6.61,8.55,2.86,1.28,1.71,4.4,4.22,3.82,0.9,2.55,2.4,2.1,6.25,1.3,7.85,1.5,3.95,0.2,4.7,1.2,3.9,7.4,3.93,3.25,3.07,5.56,1.79,1.25,3.41,1.4,1.5,3.63,2.1,2.35,1.13,1.76,6.02,3.39,3.55,2.05,3.14,3.69,2.7,5.6,3.29,2.08,4.53,1.7,3.01,2.56,2.9,3.74,4.56,3.87,3.86,5.29,2.25,3.71,3.27,2.08,2.75,,,,,,,,,,,,,,,,,,,,,,,,
July,,1.15,0.71,0.1,3.1,5.1,5.1,3.3,0.4,1.36,2.4,5.3,2.85,7.03,2.8,1.96,6.27,7.62,0.84,2.53,0.85,8.04,4.5,2.68,4.57,3.22,6.6,5.25,3.9,1.75,4.85,1.6,5.25,8.45,4.5,4.5,5.7,6.7,1.94,6.5,4.38,1.73,4.59,5.5,3,5.1,4.78,3.79,3.3,4.95,4.01,6.15,3.06,1.17,2.28,4.97,3.34,2.02,4.71,1.96,4.35,2.85,4.68,6.43,2.63,1.67,4.53,2.84,4.9,4.02,2.35,3.68,4.65,6.87,4.18,1.96,2.66,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.4,0.56,7.6,6.2,8.9,8.9,25.5,2.78,0.7,1.65,3.2,3.6,8.67,4.11,5.79,6.98,5,2.66,2.63,1.75,3.76,4.51,5.62,5.05,1.73,3.25,2.8,5.3,5.85,5.4,7.15,4.05,6.6,6.3,6.7,5.9,5.5,8.14,2.92,4.55,8.69,3.7,6.98,5.35,3,4.48,8.15,2.75,3.16,6.61,3.35,3.11,2.79,6.05,1.74,4.13,4.71,4.56,5.01,4.13,2.63,4.28,5.83,2.78,2.84,6.12,5.72,6.01,6.25,7.51,1.51,2.67,5.54,6.13,2.68,2.88,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.2,0.41,8.1,8.6,2.6,9.9,11.5,0.49,1.96,1.95,1.3,11.3,5.6,7.63,2.28,3.4,3.51,3.42,6.45,2.29,3.35,7.42,1.67,5.18,9.35,6.85,4.4,4.3,3.65,9.4,8,9.9,5.4,0,3.03,6,4.75,10.62,10.26,8.68,6.03,8.5,1.87,5.65,5.6,4,4.58,5.6,2.5,2.84,5.34,4.39,2.61,3.75,2.81,2.84,5.33,7.53,6.48,2.79,3.93,3.36,7.24,3.94,4.79,4.33,5.45,4.54,3.89,3.41,2.32,5.44,1.98,8.27,4.44,1.97,,,,,,,,,,,,,,,,,,,,,,,,
October,,0.63,1.14,5.7,2.7,7.4,6.9,15.8,3.54,1.22,4.8,4.2,4.2,12,7.13,4.12,9.19,10.21,6.51,2,0.1,3.75,3.24,4.87,8.1,3.9,5.7,2.35,3.2,5.35,9.4,7.35,3.8,9.2,3,3.2,3.7,3.4,5.77,7.89,5.17,10.16,2.53,10.8,6.97,5,8.7,4.1,1.15,6.27,1.5,2.51,6.34,4.36,3.61,2.42,8.38,10.74,8.07,2.96,2.06,6.19,3.58,6.55,2.99,4.76,8.49,7.39,8.97,7.6,8.12,5.24,8.87,2.93,10.33,4.74,3.37,,,,,,,,,,,,,,,,,,,,,,,,
