SUMMERHILL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IN8452247814,Long,-6.727654,Lat,53.473797,Elevation,372,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.72,2.29,1.36,2.08,2.32,3.87,3.65,3.38,2.44,4.75,3.54,1.4,3.66,0.73,3.49,2.18,3.72,1.39,3.54,5.03,1.54,3.32,2.5,1.18,2.29,3.2,4.6,4.22,2.91,2.45,5.09,2.97,4.05,3.27,4.8,1.79,4.4,2.15,2.92,2.77,3.64,1.45,3.57,3.56,4.48,4.92,3.6
February,,,,,2.85,1.11,1.65,2.46,2.19,1.83,2.58,1.34,1.6,2.6,3.77,0.99,2.2,1.75,2.01,0.82,4.12,2.93,2.61,1.29,3.04,3.81,3.57,2.1,3.03,1.89,2.41,1.13,2.77,4.58,0.7,4.29,2.45,2.31,3.49,3.6,0.75,1.84,0.36,3.72,0.15,3.91,1.59,4.61,1.09,2.73,2.31
March,,,,,1.67,3.15,4.19,3.98,1.24,1.21,1.16,2.2,2.34,5.04,2.45,3.65,1.73,3.16,3.17,3.67,1.56,1.83,3.92,3.04,2.75,0.97,2.24,2.68,1.96,2.33,2.69,2.98,2.43,2.04,1.46,0.46,1.18,3.47,4.5,0.53,4.23,2.73,1.26,1.98,2.38,1.17,1.96,3.95,1.39,2.98,2.4
April,,,,,3.58,1.94,1.16,3.41,3.12,2.65,2.3,1.32,2.5,1.06,1.79,2.33,1.56,2.61,2.64,4.8,2.39,2.39,1.06,4.07,1.42,2.05,2.8,1.38,1.3,1.56,2.79,1.04,3.06,3.82,2.82,3.59,1.85,1.41,1.28,1.63,1.59,2.77,3.02,0.96,1.88,2.25,2.14,2.08,0.12,1.99,3.26
May,,,,,3.27,0.29,0.18,1.49,3.27,3.88,2.18,1.59,2.1,1.91,2.75,0.83,3.53,3.48,2.47,1.27,2.36,1.96,1.53,3.51,1.72,1.06,4.53,2.16,2.49,2.19,3.31,2.2,2.23,1.88,3.82,5.83,2.56,1.91,1.55,2.24,1.85,3.15,3.34,2.03,1.71,1.94,1.54,1.5,3.2,0.87,2.16
June,,,,,2.1,1.76,2.56,4.57,2.99,1.71,4.86,1.86,2.5,1.46,0.91,1.62,2.15,3.74,1.48,2.01,4.34,1.46,5.02,2.51,1.44,1.87,2.92,1.98,1.84,2.9,2.2,0.4,1.38,1.49,3.2,0.6,3.31,3.67,4.56,1.7,2.32,5.82,1.15,1.94,1.43,5.06,4.09,1.59,3.82,1.49,0.87
July,,,,,3.39,3.8,7.3,2.55,0.54,3.79,2.42,1.42,3,4.34,3.54,1.3,1.73,2.09,4.16,3.3,2.99,2.19,4.33,0.77,2.94,5.42,3.35,3.53,4.03,1.06,5.6,4.5,2.87,4.51,4.55,3.45,2.7,3.02,2.22,3.04,3.53,4.28,4.06,3.02,1.06,0.79,4.81,3.72,5.5,3.36,4.59
August,,,,,3.12,6.7,2.62,4.38,5.61,2.33,6,2.89,2.04,4.45,4.69,6.78,2.6,2.92,2.92,1.1,4.9,1.9,6.54,1.15,6.27,3.25,2.43,7.2,3,2.62,2.53,3.58,5.2,5.04,4.45,2,4.78,5.79,3.6,4.32,5.84,3.41,3.08,1.63,3.49,3.06,2.21,2.35,2.12,0.99,0.52
September,,,,,0.25,0.64,5.72,2.81,2.73,3.35,1.55,3.78,2.82,3.17,2.81,1.6,1.03,1.08,5.26,3.47,0.89,1.67,0.6,3.71,1.78,1.8,1.99,1.58,6.26,1.73,1.48,1.72,2.72,2.93,7.08,1.68,2.41,4.49,1.98,0.47,3.72,2.6,2.77,0.93,4.26,4.18,2.82,3.35,1.67,1.89,2.46
October,,,,,3.9,2.86,1.97,2.15,4.11,1.36,3.34,3.05,2.51,3.48,1.33,1.03,4.7,5.2,2.01,5.71,1.52,4.89,2.46,3.13,2.17,3.37,7.79,5.21,3.63,2.32,3.71,2.43,1.86,3.17,2.77,2.77,2.69,3.05,4.23,4.22,4.41,1.52,3.49,2.92,2.81,3.69,1.67,3.48,6.46,2.87,6.76
November,,,,,2.27,3.42,0.94,4.42,6.06,1.94,5.64,4.25,2.77,2.87,1.69,3.14,2.38,2.45,1.93,1.95,3.44,4.7,2.39,3.52,3.78,2.74,3.99,3.06,2.35,2.09,2.39,2.86,0.62,2.58,3.04,2.17,3.81,2.85,3.95,4.36,4,6.58,1.67,1.65,1.29,3.85,2.97,1.58,3.38,6.97,3.95
December,,,,,2.39,3.92,4.91,3.05,2.3,4.43,3.35,3.06,2.15,2.52,1.92,1.76,2.21,3.02,2.88,4.84,4.67,5.07,3.16,2.52,5.71,5.08,3.17,2.62,4.19,5.38,2.98,3.34,3.2,2.69,4.63,1.56,0.91,2.87,3.14,5.56,3.69,2.42,4.88,1.74,5.75,2.52,2.92,1.91,3.54,2.84,3.04
Total,,,,,31.51,31.88,34.56,37.35,36.48,32.35,39.03,30.14,28.77,37.65,31.19,26.43,29.48,32.23,34.42,35.12,36.9,32.38,37.16,34.25,34.56,34.74,41.28,34.68,36.37,29.27,36.69,30.4,31.25,37.18,43.61,31.37,32.7,38.11,39.3,33.46,40.33,39.27,32,25.29,29.85,33.87,32.29,33.68,36.77,33.9,35.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 100 bedroom mansion built in 1731 for the viscounts Langford.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1921 the Irish Republican Army took the estate and lands, and set fire to the house which was completey destroyed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whilst the observer was iniitally Lord Langford, James Morse Lauder took the observation until the 1910s when W Lauder took over and continued until the end of the record in 1940.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
