GARTSHORE GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 69275 73824,Long,-4.094454,Lat,55.939636,Elevation,261,ft,,,,,,,,,,,,
Station no,5335/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,3.27,7.28,3.61,4.82,2.03,4.71,4.07,7.5,5.02,2,1.26,,4.05,5.53,3,5.29,,,,
February,4.66,0.12,3.19,0.57,4.36,2.41,5.57,2.5,5.09,1.55,4.03,,3.89,1.98,6.33,3.22,,,,
March,1.32,2.56,2.78,3.52,2.15,2.82,1.29,3.91,3.8,4.49,3,1.9,1.69,0.62,3.1,2.2,,,,
April,2.24,3.67,2.25,4.15,2.23,1.65,1.8,0.68,2.02,3.17,1.62,2.75,2.64,2.43,1.81,1.25,,,,
May,4.66,3.54,2.39,2.86,0.57,1.03,1.95,4.55,0.98,1,3.51,3.19,3.97,3.69,4.4,1.67,,,,
June,5.45,1,1.31,2.28,3.57,2.25,3.6,6.04,2.64,0.75,1.31,2.01,4.09,2.74,3.75,2.34,,,,
July,6.52,3.92,3.98,3.08,1.92,6.15,3.22,4.24,5.76,4.59,5.07,,2.74,3.34,3.1,2.51,,,,
August,2.04,1.7,2.82,4.58,3.04,4.78,4.01,3.36,1.6,2.45,7.33,,6.57,3.35,2.09,2.09,,,,
September,1.53,4.6,1.15,5.82,5.59,4.52,2.53,4.02,2.58,4.42,1.95,,2.65,4.78,5.77,6.41,,,,
October,3.29,5.8,2.79,6.27,9.34,5.64,3.75,8.84,3.03,5.46,6.94,,7.52,4.73,5.23,0.73,,,,
November,6.58,3.57,2.02,1.72,4.53,4.88,1.07,7.98,7.61,5.41,4.26,,2.16,6.75,0.76,,,,,
December,3.68,7.25,1.12,4.07,2.59,5.96,3,2.85,2.33,3.81,2.65,4.05,1.7,5.39,3.43,,,,,
Total,45.24,45.01,29.41,43.74,41.92,46.8,35.86,56.47,42.46,39.1,42.93,,43.67,45.33,42.77,,,,,
,,,,,,,,,,,,,,,,,,,,
1937 Dec Estd,,,,,,,,,,,,,,,,,,,,
1938 Ja Fe Estd,,,,,,,,,,,,,,,,,,,,
1940 Ja Estd,,,,,,,,,,,,,,,,,,,,
1942 Ja Fe Estd Deleted,,,,,,,,,,,,,,,,,,,,
May 1935 edited to ensure totals match,,,,,,,,,,,,,,,,,,,,
Station no,5335/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,658230,,,,,,,,,,,,,,,,,,,
