DENBIGH-VALE-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ054662,Long,-3.4171138,Lat,53.184454,Elevation,230,ft.,,,,,,,,,,,,
Station no,RR7838,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,5.39,3.05,1.05,0.49,1.11,2.85,4.1,4.19,,,,,
February,,,,,,,2.48,3.23,1.17,2.25,2.36,3.21,1.72,2.49,3.86,,,,,
March,,,,,,,3.32,2.2,1.54,1.21,1.68,2.8,1.62,1.85,2.36,,,,,
April,,,,,,,2.79,2.24,1.95,1.96,1.29,0.64,3.31,0.7,1.93,,,,,
May,,,,,,,0.21,3.06,3.58,1.69,1.89,3.15,1.97,1.53,1.28,,,,,
June,,,,,,,1.46,1.11,2.49,4.23,4.01,3.34,3.23,2.68,1.33,,,,,
July,,,,,,,0.64,3.15,0.52,5.13,5,2.1,3.99,2.38,3.41,,,,,
August,,,,,,,2.18,6.01,3.64,9.16,1.62,5.26,3.43,1.72,0.63,,,,,
September,,,,,,,6.46,3.64,2.67,1.78,3.31,1.39,1.43,4.66,2.42,,,,,
October,,,,,,,3.76,3.58,4.53,1.44,6.18,2.95,2.55,3.24,1.87,,,,,
November,,,,,,,3.41,5.85,3.92,1.39,4,4.25,5.46,3.69,3.46,,,,,
December,,,,,,,4.65,3.73,3.89,1.94,5.4,2.72,3.43,2.23,2.53,,,,,
Total,,,,,,,,43.19,32.95,33.23,37.23,32.92,34.99,31.27,29.27,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Vale Street at the stated altitude,,,,,,,,,,,,,,,,,,,,
