LOCH DOON (STARR),,,,,,,,,,
Grid ref,NX482937,Long,-4.387477,Lat,55.214137,Elevation,700,ft,,
Station no,5257/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,6.8,6.08,4.59,8.02,8.56,3.78,5.21
February,,,,4.99,1.92,1.68,4.49,6.24,3.08,8.27
March,,,,5.18,3.14,3.89,5.53,1.28,5.2,1.79
April,,,,1.85,2.41,1.45,2.71,2.07,4.93,7.26
May,,,,4.7,3.86,3.11,2.8,3.48,2.17,2.4
June,,,,5.47,3,3.72,1.73,2.88,2.68,2.72
July,,,,5.53,1.57,7.34,6.66,5.85,5.88,4.83
August,,,,5.4,3.96,7.2,5.96,4.35,0.96,4.55
September,,,,10.01,5.83,5.28,4.99,5.76,2.09,3.78
October,,,,11.29,4.65,5.55,6.64,5.8,9.65,5.1
November,,,,12.54,4.99,2.73,3.21,2.2,9.39,11.48
December,,,,12.92,10.14,8.66,8.93,6.49,12.52,8.22
Total,,,,86.68,51.55,55.2,61.67,54.96,62.33,65.61
