"ESKDALEMUIR (SANDYFORD)",,,,,,,,,,,,
Grid ref,NX205938,Long,-4.822374,Lat,55.205743,,,,,,,
Station no,5040/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.48,7.12,2.58,4.88,4.52,3.82,7.60,5.37,3.12,6.58,,
February,3.76,1.13,1.63,3.42,2.31,1.67,4.07,5.12,1.88,7.76,,
March,4.03,2.82,1.11,3.40,2.84,2.54,4.76,2.26,3.49,2.31,,
April,3.51,3.30,3.97,1.46,2.78,1.05,2.79,2.15,4.41,6.24,,
May,2.13,2.35,2.54,5.74,4.20,3.25,2.16,4.94,1.94,3.66,,
June,2.11,4.83,2.12,5.68,3.08,2.91,1.66,3.57,3.63,3.51,,
July,4.55,3.67,10.42,5.12,2.85,8.02,4.12,7.59,5.11,5.47,,
August,6.42,3.74,4.67,5.30,1.79,9.19,5.22,5.89,0.92,5.82,,
September,6.50,2.07,5.51,7.56,4.30,4.53,5.32,6.84,1.47,3.60,,
October,0.40,4.71,3.43,11.66,3.26,3.24,7.35,4.43,6.00,3.29,,
November,9.84,3.50,8.22,10.70,2.46,2.15,2.02,1.79,9.03,7.61,,
December,7.46,5.49,2.81,6.39,6.74,6.56,4.61,4.85,8.07,5.32,,
Total,57.19,44.73,49.01,71.31,41.13,48.93,51.68,54.80,49.07,61.17,,
Calc annual,57.19,44.73,49.01,71.31,41.13,48.93,51.68,54.80,49.07,61.17,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
