ESKDALEMUIR (SANDYFORD),,,,,,,,,,,,,,,,,,,,
Grid ref,NY205938,Long,-3.2515619,Lat,55.231982,Elevation,728,ft,,,,,,,,,,,,
Station no,5040/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.59,5.58,4.63,7.56,4.25,3.7,6.48,7.12,2.58,4.88,4.52,3.82,7.6,5.37,3.12,6.58
February,,,,,6.95,2.88,0.2,4.56,4.08,5.43,3.76,1.13,1.63,3.42,2.31,1.67,4.07,5.12,1.88,7.76
March,,,,,3.51,4.43,4.76,4.73,1.83,5.62,4.03,2.82,1.11,3.4,2.84,2.54,4.76,2.26,3.49,2.31
April,,,,,2.78,1.47,6.93,3.77,5.12,5.69,3.51,3.3,3.97,1.46,2.78,1.05,2.79,2.15,4.41,6.24
May,,,,,5.84,1.38,3.08,2.27,3.3,2.49,2.13,2.35,2.54,5.74,4.2,3.25,2.16,4.94,1.94,3.66
June,,,,,5.23,5.41,4.07,7.1,1.63,5.38,2.11,4.83,2.12,5.68,3.08,2.91,1.66,3.57,3.63,3.51
July,,,,,4.35,3.97,4.63,3.37,2.78,5.05,4.55,3.67,10.42,5.12,2.85,8.02,4.12,7.59,5.11,5.47
August,,,,,2.02,5.81,0.08,8.48,4.17,7.14,6.42,3.74,4.67,5.3,1.79,9.19,5.22,5.89,0.92,5.82
September,,,,,6,7.4,4.33,6.94,2.69,12.3,6.5,2.07,5.51,7.56,4.3,4.53,5.32,6.84,1.47,3.6
October,,,,,4.9,0.96,1.29,5.98,6.39,4.06,0.4,4.71,3.43,11.66,3.26,3.24,7.35,4.43,6,3.29
November,,,,,0.38,8.54,8.47,4.62,5.26,4,9.84,3.5,8.22,10.7,2.46,2.15,2.02,1.79,9.03,7.61
December,,,,,2.86,5.16,2.93,6.74,10.58,1.79,7.46,5.49,2.81,6.39,6.74,6.56,4.61,4.85,8.07,5.32
Total,,,,,49.41,52.99,45.4,66.12,52.08,62.65,57.19,44.73,49.01,71.31,41.13,48.93,51.68,54.8,49.07,61.17
,,,,,,,,,,,,,,,,,,,,
13123,SANDYFORD ,NY2058893890,01/01/1945,31/12/1989,,,,,,,,,,,,,,,,
