"ESSEX ST. NORWICH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR447,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.13,1.32,1.97,2.12,1.50,2.41,2.65,1.80,1.20,1.00,,
February,2.04,3.80,1.72,2.75,0.50,2.47,0.30,0.58,2.20,1.67,,
March,0.92,2.00,1.22,2.17,1.30,1.45,1.38,1.95,3.10,1.04,,
April,1.42,0.80,3.07,1.76,1.74,1.23,1.35,1.07,1.56,2.00,,
May,0.54,0.70,1.55,1.05,0.84,2.95,2.44,2.08,0.90,3.35,,
June,2.81,1.45,3.27,3.03,0.34,0.95,0.46,0.41,1.00,1.16,,
July,4.78,1.52,3.02,2.33,2.45,0.84,3.88,1.15,4.24,2.90,,
August,2.40,3.70,1.65,0.56,1.00,0.64,1.90,2.26,2.20,2.00,,
September,2.25,3.02,2.47,2.95,3.05,4.63,1.76,2.47,1.88,3.42,,
October,4.73,3.24,6.50,3.45,3.08,6.84,3.14,2.66,2.11,3.13,,
November,2.22,2.16,3.05,3.58,2.08,3.16,2.70,2.24,2.80,1.66,,
December,2.30,3.14,3.85,3.15,2.48,1.43,4.12,1.38,1.10,1.28,,
Total,26.54,26.85,33.34,28.90,20.36,29.00,26.08,20.05,24.29,24.61,,
Calc annual,26.54,26.85,33.34,28.90,20.36,29.00,26.08,20.05,24.29,24.61,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
