NORWICH ESSEX STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG220081,Long,1.278595,Lat,52.625239,Elevation,88,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.02,2.38,3.04,2.07,1.18,0.13,1.32,1.97,2.12,1.5,2.41,2.65,1.8,1.2,1,2.62,1.9,1.2,2.2,1.68,3.65,1.04,2.05,1.03,1.72,3.04,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.24,3.15,2.62,1.05,3.53,2.04,3.8,1.72,2.75,0.5,2.47,0.3,0.58,2.2,1.67,0.8,0.04,2.24,2.53,1.18,0.55,0.48,2.41,1.17,1.4,3.35,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.6,2.45,2.74,1.45,0.97,0.92,2,1.22,2.17,1.3,1.45,1.38,1.95,3.1,1.04,2.92,1.9,1.22,0.42,0.86,1.8,3.42,2.31,2.42,1.57,1.05,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.87,2.98,2.3,1.01,2.55,1.42,0.8,3.07,1.76,1.74,1.23,1.35,1.07,1.56,2,0.93,1.02,1.98,0.09,2.08,1.05,1.18,1.72,1.05,2.76,2.05,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.3,0.53,1.65,4.15,2.23,0.54,0.7,1.55,1.05,0.84,2.95,2.44,2.08,0.9,3.35,1.64,3.52,1.65,1,2.61,0.88,0.6,0.72,3,1.4,1.75,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.45,1.81,1.46,1.19,3.2,2.81,1.45,3.27,3.03,0.34,0.95,0.46,0.41,1,1.16,2.78,0.98,3.37,1.3,2.23,0.56,2.37,2.21,2.95,0.83,2.83,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,6.07,2.2,3.1,0.75,5.33,4.78,1.52,3.02,2.33,2.45,0.84,3.88,1.15,4.24,2.9,3.24,4.68,2.74,4.32,3.53,3.44,0.91,0.65,1.62,2.5,1.69,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,0.7,1.55,4.35,5.94,5.14,2.4,3.7,1.65,0.56,1,0.64,1.9,2.26,2.2,2,2.16,2.92,2.24,2.14,2.16,4.43,1.65,2.09,1.31,0.52,4.33,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.73,4.9,3.08,2.41,3.45,2.25,3.02,2.47,2.95,3.05,4.63,1.76,2.47,1.88,3.42,0.97,0.88,2.05,1.21,1.84,0.37,3.52,3.4,0.14,3.16,0.58,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.25,4.03,1.05,1.83,2.01,1,4.73,3.24,6.5,3.45,3.08,6.84,3.14,2.66,2.11,3.13,1.86,3.95,7.77,1.46,2.55,3.77,3.3,0.91,2.48,2.73,2.15,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.66,6.9,3.04,2.57,8.45,2.65,2.22,2.16,3.05,3.58,2.08,3.16,2.7,2.24,2.8,1.66,3.55,1.87,1.32,4.46,3.02,2.67,1.7,1.64,2.66,2.6,2.04,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,2.75,2.2,3.8,2.7,2.32,0.83,2.3,3.14,3.85,3.15,2.48,1.43,4.12,1.38,1.1,1.28,0.7,3.3,1.14,1.8,3.08,2,3.52,1.6,2.2,1.68,3,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,30.11,29.84,31.44,32.8,32.06,26.54,26.85,33.34,28.9,20.36,29,26.08,20.05,24.29,24.61,24.17,26.96,28.92,22.93,26.82,25.17,23.69,21.71,22.03,22.87,27.86,20.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
