GODALMING-CHARTERHOUSE-(LOW-LEVEL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU965446,Long,-0.61971,Lat,51.19291,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.36,3.51,1.61,2.47,2.24,4.09,2.34,3.29,1.38,4.57,1.76,3.18,2.23,2.22,0.69,5.13,6.41,2.9,5.17,3.06,2.74,2.99,6.16,1.87,1.97,2.44,2.1,4.82,,
February,,0.27,2.46,5.08,0.63,4.23,1.99,4.86,1.92,0.63,1.05,1.66,0.4,4.36,0.12,4.12,2.27,4.49,0.54,1.33,2.51,2.73,0.63,1.63,0.66,1.97,2.43,1.55,1.48,,
March,,1.2,2.11,2.86,1.18,0.85,0.44,3.38,2.31,0.01,1.31,0.4,1.77,3.78,2.7,0.45,1.61,3.95,0.24,1.38,3.09,3.29,1.76,0.5,0.14,0.93,1.14,4.84,0.88,,
April,,1.16,3.21,2.37,3.45,2.57,3.14,1.87,1.9,0.65,1.85,3.76,2.69,0.92,1.98,3.06,1.77,2.41,0.17,2.64,1.75,1.9,1.76,0.92,1.04,1.07,2.59,2.21,1.7,,
May,,1.17,1.11,3.12,3.47,3.42,1.55,1.26,2.01,2.89,2.64,2.98,4.8,2.18,0.65,1.36,0.78,2.26,1.14,2.36,1,2.12,3.64,2.97,0.55,1.51,3.53,1.67,2.37,,
June,,0.11,1.5,0.4,2.94,0.06,2.81,3.8,2.5,1.45,0.48,1.46,1.48,1.8,1.21,3.61,3.19,1.83,0.54,1.37,0.99,1.66,0.4,1.29,1.3,2.47,2.64,2.14,2.61,,
July,,0.62,4.02,1.23,4.36,4.28,1.27,1.81,1.77,1.46,2.4,3.74,2.43,1.94,1.84,0.95,4.01,0.74,1.8,3.15,2.98,2.31,1.84,1.45,1.28,5.09,2.17,1.06,0.95,,
August,,1.24,2.55,2.49,2.43,4.29,1.15,3.46,1.76,1.73,3.12,3.08,0.65,0.97,2.24,3.17,1.01,1.2,2.04,1.93,0.12,4.58,3.14,1.28,1.44,1.37,4.28,0.52,3.92,,
September,,0.88,1.52,1.67,4.02,2.5,0.96,5.36,1.32,0.17,3.08,2.13,2.29,2.6,1.78,4.2,2.1,2.16,1.73,0.68,1.6,0.17,1.74,1.65,2.37,2.14,4.06,1.21,1.65,,
October,,0.59,1.16,6.33,3.68,2.81,2.43,1.54,5.86,3.43,1.23,0.56,4.95,1.8,1.52,3.78,1.97,3.43,2.76,5.11,3.67,1.06,3.52,2.99,4.45,3.14,1.2,0.51,,,
November,,2.01,1.62,1.54,2.53,2.36,5.83,3.73,2.33,7.24,4.1,3.38,1.07,0.93,3.39,6.06,3.43,2.26,4.69,4.66,7.26,3.4,1.81,1.53,4.08,0.26,5.13,1.13,,,
December,2.49,1.53,4.29,2.4,4.05,3.17,0.21,4.69,2.35,7.85,2.94,0.57,0.52,0.33,7.19,3.54,3.3,4.05,3.87,1.27,1.45,1.85,3.51,1.74,2.56,4.15,3.17,3.07,,,
Total,,13.14,29.06,31.1,35.21,32.78,25.87,38.1,29.32,28.89,28.77,25.48,26.23,23.84,26.84,34.99,30.57,35.19,22.42,31.05,29.48,27.81,26.74,24.11,21.74,26.07,34.78,22.01,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Nov 11th Gauge moved about 150 yds SW to lower level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown but this NGR matches distance and altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Row of tall elms 20yrds E Felled in Feb 1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Oct 1st Gauge moved 6ft E to new recommended position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Observer states gauge is sound and site unaltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Oct Gauge terminated on death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-50 Readings from elsewhere so deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
