GODALMING-CHARTERHOUSE-(PEPERHARROW-RD),,,,,,,,,,
Grid ref,SU960446,Long,-0.62673,Lat,51.1932,Elevation,200,ft,,
Station no,187,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,2.27,0.72,1.96,3.39,2.41,0.57,2.54,,
February,,0.02,1.27,3.8,1.72,0.19,0.41,3.04,,
March,,2.28,1.26,0.44,1.52,1.6,2.97,,,
April,,1.08,1.1,0.08,1.95,2.03,0.45,,,
May,,2.46,0.86,0.98,1.93,0.38,0.41,,,
June,,1.15,1.91,0.88,2.36,0.36,4.07,,,
July,3.42,2.81,2.12,2.98,4.86,5.38,1.07,,,
August,2.18,4.96,2.99,1.23,2.7,2.52,2.02,,,
September,1.14,1.02,2.29,1.47,2.19,0.71,7.12,,,
October,1.11,7.08,4.26,4.33,4.09,3,3.31,,,
November,2.29,3.49,2.88,2.57,4.35,4.67,1.91,,,
December,0.9,3.8,1.44,2.81,2.25,2.76,4.4,,,
Total,,32.42,23.1,23.53,33.31,26.01,28.71,,,
,,,,,,,,,,
Gauge in Peperharrow Road,,,,,,,,,,
Exact location unknown but this NGR matches distance to church and altitude,,,,,,,,,,
"1897 Mar 22nd Gauge moved .25mile N to Hurtmore Lane, 110ft higher",,,,,,,,,,
