GIORRA DAM,,,,,,,,,,
Grid ref,NN510465,Long,-4.427752,Lat,56.586681,Elevation,1375,ft,,
Station no,5557/4/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.56,5,12.01,7.93,3.65,5.05
February,,,,,3.27,2.09,6.41,3.55,3.79,6.41
March,,,,,1.12,3.88,6.2,1.58,6.68,2.57
April,,,,,3.16,3.07,2.92,3.37,6.34,7.93
May,,,,,4.3,8.01,2.74,5.37,2.93,3.94
June,,,,,2.65,5.31,3.41,3.78,5.06,3.29
July,,,,,1.15,5.82,4.87,4.75,4.74,3.52
August,,,,,1.56,5.73,6.34,7.01,3.71,3.03
September,,,,,6.88,7.18,4.64,6.6,1.3,3.95
October,,,,,5.42,6.35,8.24,7.77,8.56,5.81
November,,,,,3.29,4.53,2.67,1.49,9.59,8.09
December,,,,,14.84,13.3,10.78,9.22,11.41,9.09
Total,,,,,52.2,70.27,71.23,62.42,67.76,62.68
,,,,,,,,,,
Station no,5557/4/5,,,,,,,,,
Midas,15132,,,,,,,,,
Hyd Stn,862675,,,,,,,,,
