ROTHLEY-WEST-LAWN,,,,,,,,,,,,,,,,,,,,
Grid ref,SK572126,Long,-1.1548268,Lat,52.708052,Elevation,240,ft,,,,,,,,,,,,
Station no,2508/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.12,2.77,,,3.05,2.98,3.87,2.5,1.58,2.04,,,,
February,,,,,,,3.05,0.76,,,2.16,1.3,0.77,1.6,1.88,3.88,,,,
March,,,,,,,2.54,0.16,,,2.98,1.97,1.07,0.27,0.63,0.9,,,,
April,,,,,,,2.97,0.06,,,1.7,1.49,0.73,2.17,1.34,1.8,,,,
May,,,,,,,2.9,1.62,,,,3.7,2.18,0.64,2.61,1.7,,,,
June,,,,,,,0.73,1.4,,,0.67,0.61,2.96,1.36,2.36,2.96,,,,
July,,,,,,,3.59,2.21,,,3.67,2.23,0.99,1.8,2.56,1.18,,,,
August,,,,,,,0.63,2.38,,,4.31,2.15,1.5,1.98,1.55,4.5,,,,
September,,,,,,,1.28,1.56,,,0.44,1.04,1.84,4.01,0.99,3.53,,,,
October,,,,,,,3.06,1.9,,,2.19,2.69,1.9,2.59,3.71,1.14,,,,
November,,,,,,2.11,1.56,2.71,,,2.76,2,1.58,3.74,0.32,5.31,,,,
December,,,,,,1.38,1.92,3.84,,,0.91,1.64,0.89,1.49,2.1,2.31,,,,
Total,,,,,,,27.35,21.37,,,,23.8,20.28,24.15,21.63,31.25,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1941 May estimated,,,,,,,,,,,,,,,,,,,,
