WEST-BYFLEET-N-ZEALAND-GOLF-CLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ030613,Long,-0.52262,Lat,51.34151,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,235/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.53,4.67,2.54,4.49,3.03,2.67,3.03,4.87,1.75,1.8,1.63,1.81,3.77,1,0.77,3.25,1.97,0.9,1.28,3.11,4.15,1.69,2.42,2.09,2.26
February,,,,,,1.66,4.02,0.56,1.1,1.99,2.26,0.79,1.33,0.69,1.59,2.12,1.53,1.21,0.98,3.99,5.96,0.86,1.22,2.65,1.56,0.44,3.47,2.49,0.08,2.13
March,,,,,,1.11,3.3,0.28,1.08,3.14,3.71,1.59,0.47,0.16,0.84,1.17,4.9,0.68,1.02,0.98,3.6,3.03,0.43,2.24,1.05,0.7,1.15,1.48,2.42,1.42
April,,,,,,1.62,2.5,0.12,2.67,2.05,1.33,1.32,1.06,1.08,1.27,1.63,1.66,1.48,2.01,3.02,2.45,1.54,2.21,0.35,0.26,1.14,0.3,0.92,2.08,0.65
May,,,,,,0.81,2.32,1.72,1.53,1.2,1.89,3.05,2.51,0.87,1.53,2.99,1.43,2.58,1.81,1.49,2.7,1.94,1.67,2.61,3.42,0.28,1.54,2.88,0.59,1.57
June,,,,,,3.35,1.82,0.56,1.53,0.69,2.28,1.74,1.63,2.66,1.34,2.67,2.94,3.34,0.62,0.99,0.97,2.08,1.57,3.71,2.8,2.02,1.1,3.65,0.43,1.72
July,,,,,,3.57,1.05,1.1,2.2,2.57,5.16,1.72,2.82,1.85,4.44,2.28,2.97,1,1.13,3.82,1.32,0.55,4.22,2.79,0.25,4.41,2.75,1.44,2.41,2.75
August,,,,,,0.89,1.4,1.63,2.12,0.18,5.37,2.48,1.16,1.65,1.3,3.97,0.36,3.15,1.23,3.03,3.37,3.82,1.59,2.96,1.27,4.09,2.56,3.5,2.22,3.14
September,,,,,,2.94,1.81,1.34,1.09,1.36,0.35,0.89,2.08,1.95,1.87,2.76,1.07,1.37,0.98,2.59,2.28,3.67,2.06,2.46,1.47,2.64,3.16,3.37,0.06,2.31
October,,,,,,2.2,3.12,2.5,5.24,2.92,1.3,3.52,2.3,3.39,2.81,1.01,0.18,1.85,5.51,0.4,0.56,3.18,3.11,2.13,3.39,2.08,1.77,2.66,2.71,6.11
November,,,,,,3.11,1.49,3.4,5,7.13,2.96,1.79,1.41,3.62,0.41,4.26,0.96,1.84,2.37,5.08,5.75,3.17,1.35,4.51,1.58,0.74,2.74,2.01,2.64,3.87
December,,,,,,2.4,4.2,3.24,1.09,1.32,1.79,2.96,1.38,1.73,3.36,2.61,2.67,2.84,1.39,1.82,1.93,2.53,0.78,2.53,2.48,3.54,2.16,2.71,3.99,2.53
Total,,,,,,28.19,31.7,18.99,29.14,27.58,31.07,24.88,23.02,21.4,22.56,29.1,22.48,25.11,20.05,27.98,34.14,28.34,21.11,30.22,22.64,26.23,24.39,29.53,21.72,30.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A plantation of larches 50yds NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
