BRADFIELD-PUMPING-STATION-ORIGINAL-LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU604726,Long,-1.1322176,Lat,51.449174,Elevation,174,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,807/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.37,5.06,2.64,4.9,2.58,2.56,2.83,5.34,1.68,1.44,2.05,1.97,5.49,1.21,0.58,3.12,2.05,0.88,1.39,2.47,3.54,1.69,,,
February,,,,,,1.91,4.45,0.42,1.21,2.84,2.86,0.93,1.2,0.96,1.72,1.87,1.28,0.82,1.25,4.3,4.85,0.7,1.8,2.39,1.34,0.3,2.9,,,
March,,,,,,2.02,3.75,0.21,1.25,2.32,2.83,2.16,0.51,0.15,0.81,1.07,4.97,0.73,1.52,0.91,3.75,2.38,0.38,2.53,1.01,0.58,1.42,,,
April,,,,,,1.73,1.88,0.01,2.56,1.47,1.23,1.45,0.68,0.9,1.16,1.7,2.29,1.45,1.14,1.99,2.91,1.23,2.09,0.25,0.34,1.46,0.16,,,
May,,,,,,0.83,4.21,1.68,1.32,0.9,2.27,3.46,2.81,0.3,1.59,3.12,1.69,3.79,2.24,1.66,2.58,2.68,1.88,2.73,3.62,0.27,1.29,,,
June,,,,,,2.3,1.35,0.71,1,0.65,2.19,0.31,1.2,1.24,1,2.11,1.32,1.27,0.3,1.75,0.56,1.15,2.66,4.13,2.74,1.9,1.15,,,
July,,,,,,3.75,1.55,1.83,4.34,2.09,4.34,2.78,1.19,1.71,1.89,0.86,1.71,1.09,1.48,4.44,1.23,0.4,2.52,2.37,0.19,1.79,3.37,,,
August,,,,,,1.54,0.39,2.71,1.23,0,3.62,2.01,1.42,1.23,1.62,3.48,0.51,4.16,1.23,3.01,4.38,3.36,1.83,2.96,0.34,3.03,3.73,,,
September,,,,,,2.78,2.45,1.08,0.68,1.31,0.37,1.24,1.09,2.02,2.14,3.47,1.09,1.96,1.78,2.98,3.02,1.82,1.69,1.62,0.87,2.48,2.93,,,
October,,,,,3.32,1.75,2.17,2.99,4.28,2.68,1.48,2.94,4.3,3.76,3.22,1.1,0.45,2.12,6.84,0.68,0.75,4.02,2.83,1.98,2.75,1.38,2.06,,,
November,,,,,4.11,2.98,1.14,3.28,4.72,7,2.67,1.71,1.5,4.69,0.15,4.98,1.14,1.57,2.5,4.8,6.95,3.24,1.37,4.56,2.05,0.82,2.18,,,
December,,,,,3.68,2.91,2.42,3.07,1.15,1.19,1.44,3.84,1.42,1.6,3.06,1.97,2.69,3.12,1.2,1.33,2.24,2.55,0.6,2.57,2.58,4.02,2.72,,,
Total,,,,,,28.87,30.82,20.63,28.64,25.03,27.86,25.66,22.66,20.24,19.8,27.78,21.11,27.57,22.69,28.43,36.34,25.58,20.53,29.48,20.3,21.57,25.6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 5966 BRADFIELD P STA Start Jan 1958 end Dec 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s records and is in Bradfield with the correct relationship to the church. Altitudes match. Gauge moved NW at the end of 1957.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
