"BRADFIELD (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SU604726,Long,-1.132218,Lat,51.449174,,,,,,,
Station no,807/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.12,2.05,0.88,1.39,2.47,3.54,1.69,3.06,3.60,2.94,,
February,4.85,0.70,1.80,2.39,1.34,0.30,2.90,3.29,0.25,2.52,,
March,3.75,2.38,0.38,2.53,1.01,0.58,1.42,0.94,2.81,1.13,,
April,2.91,1.23,2.09,0.25,0.34,1.46,0.16,0.92,1.81,0.87,,
May,2.58,2.68,1.88,2.73,3.62,0.27,1.29,1.84,0.30,1.59,,
June,0.56,1.15,2.66,4.13,2.74,1.90,1.15,3.62,1.87,1.80,,
July,1.23,0.40,2.52,2.37,0.19,1.79,3.37,2.03,1.99,3.21,,
August,4.38,3.36,1.83,2.96,0.34,3.03,3.73,3.98,1.95,3.50,,
September,3.02,1.82,1.69,1.62,0.87,2.48,2.93,3.30,0.03,3.70,,
October,0.75,4.02,2.83,1.98,2.75,1.38,2.06,3.28,2.39,8.17,,
November,6.95,3.24,1.37,4.56,2.05,0.82,2.18,2.21,2.25,4.63,,
December,2.24,2.55,0.60,2.57,2.58,4.02,2.72,2.77,4.09,4.43,,
Total,36.34,25.58,20.53,29.48,20.30,21.57,25.60,31.24,23.34,38.49,,
Calc annual,36.34,25.58,20.53,29.48,20.30,21.57,25.60,31.24,23.34,38.49,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
