BRADFIELD-PUMPING-STATION-NEW-LOCATION,,,,,,,,,,
Grid ref,SU599731,Long,-1.1393273,Lat,51.453722,Elevation,220,ft.,,
Station no,807/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.06,3.6,2.94
February,,,,,,,,3.29,0.25,2.52
March,,,,,,,,0.94,2.81,1.13
April,,,,,,,,0.92,1.81,0.87
May,,,,,,,,1.84,0.3,1.59
June,,,,,,,,3.62,1.87,1.8
July,,,,,,,,2.03,1.99,3.21
August,,,,,,,,3.98,1.95,3.5
September,,,,,,,,3.3,0.03,3.7
October,,,,,,,,3.28,2.39,8.17
November,,,,,,,,2.21,2.25,4.63
December,,,,,,,,2.77,4.09,4.43
Total,,,,,,,,31.24,23.34,38.49
,,,,,,,,,,
MIDAS src_id 5966 BRADFIELD P STA Start Jan 1958 end Dec 1995,,,,,,,,,,
NGR is from the 1950s records. Altitudes match.,,,,,,,,,,
