"GRIMSBURY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SP459418,Long,-1.331741,Lat,52.072671,,,,,,,
Station no,1070,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.14,1.45,1.25,0.76,1.94,3.69,1.15,2.45,3.47,3.57,,
February,3.18,0.57,1.21,3.01,1.39,0.40,2.72,2.58,0.00,1.78,,
March,4.25,2.18,0.72,1.96,1.65,0.67,2.16,1.19,2.54,0.81,,
April,2.81,1.52,1.81,0.35,0.74,0.84,0.59,0.81,2.28,0.54,,
May,3.09,1.67,1.11,2.58,3.39,0.65,1.31,2.15,0.58,1.32,,
June,1.50,1.61,1.47,2.06,2.36,2.52,1.71,2.89,0.97,4.01,,
July,1.38,0.36,2.27,2.00,0.13,2.89,2.94,3.18,1.31,3.36,,
August,4.01,3.97,2.96,3.28,0.23,3.32,2.74,2.72,1.42,4.49,,
September,2.21,1.73,1.40,2.39,1.04,1.92,3.00,4.07,0.03,3.71,,
October,0.91,3.44,2.58,2.31,1.60,1.09,1.24,2.74,2.25,4.55,,
November,5.61,3.38,0.99,4.73,1.49,0.61,1.57,2.01,1.57,3.25,,
December,1.73,2.34,0.85,2.07,1.99,2.94,2.10,2.41,3.92,2.84,,
Total,32.82,24.22,18.62,27.50,17.95,21.54,23.23,29.20,20.34,34.23,,
Calc annual,32.82,24.22,18.62,27.50,17.95,21.54,23.23,29.20,20.34,34.23,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
