LOCH LEE (INCHGRUNDLE),,,,,,,,,,
Grid ref,NO413794,Long,-2.965375,Lat,56.90221,Elevation,885,ft,,
Station no,5611/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.68,,2.52,5.05,5.55,5.12,4.46,5.84
February,,,2.18,,6.21,1.76,5.42,3.73,0.99,6.51
March,,,0.52,,3.03,3.52,3.33,8.21,4.04,3
April,,,3.88,,1.09,1.86,1.89,2.54,4.11,5.8
May,,4.5,2.85,,4.15,1.19,3.35,4.38,1.19,1.63
June,,3.58,4.75,,1.82,4.69,3.19,2.71,2.3,2.11
July,,1.92,5.6,,1.01,4.93,7.52,4.81,3.39,4.69
August,,4.09,2.19,,1.3,6.8,6.64,4.07,2.05,5.2
September,,2.17,4.72,,1.98,4.66,2.06,5.1,0.62,4.5
October,,7.79,3.35,,4.03,3.53,2.25,3.92,5.19,13.06
November,,3.09,4.68,,3.82,1.52,2.76,1.31,10.57,7.94
December,,4.64,5.52,,8.73,10.59,6.27,6.8,12.16,3.62
Total,,,40.92,,39.69,50.1,50.23,52.7,51.07,63.9
,,,,,,,,,,
1954 Np Big deleted,,,,,,,,,,
"But comment ""Record seems",,,,,,,,,,
"reasonable""",,,,,,,,,,
,,,,,,,,,,
Station no,5611/5,,,,,,,,,
Midas,15005,,,,,,,,,
Hyd stn,852030,,,,,,,,,
