WHITLAND (PUMPING STATION),,,,,,,,,,,,
Grid ref,SN201161,Long,-4.611284,Lat,51.814500,,,,,,,
Station no,4095/7/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.29,,7.79,,
February,,,,,,,,4.66,,6.96,,
March,,,,,,,,2.01,,3.09,,
April,,,,,,,,0.92,,5.28,,
May,,,,,,,,5.05,,2.14,,
June,,,,,,,,5.20,2.12,2.84,,
July,,,,,,,,6.54,3.25,6.22,,
August,,,,,,,,6.67,1.36,4.03,,
September,,,,,,,,10.77,0.31,7.12,,
October,,,,,,,,5.81,8.15,9.81,,
November,,,,,,,,3.59,12.95,14.08,,
December,,,,,,,,5.16,11.18,7.28,,
Total,,,,,,,,60.67,,76.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.67,39.32,76.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,,
