WOLVERHAMPTON-WW-TETTENHALL-OLD-GAUGE-2,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ859028,Long,-2.2097189,Lat,52.622778,Elevation,480,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,,2.01,2.19,2.65,,,,,,,
February,,,,,,,,,,,0.79,0.35,1.41,,,,,,,
March,,,,,,,,,,,0.19,2.46,0.24,,,,,,,
April,,,,,,,,,,,1.46,0.94,0.36,,,,,,,
May,,,,,,,,,,,1.4,0.67,0.62,,,,,,,
June,,,,,,,,,,1.29,1.24,1.52,3.05,,,,,,,
July,,,,,,,,,,2.03,2.1,1.66,2.31,,,,,,,
August,,,,,,,,,,2.4,0.68,1.17,4.07,,,,,,,
September,,,,,,,,,,2.83,0.67,0.94,2.45,,,,,,,
October,,,,,,,,,,1.55,1.76,1.34,1.7,,,,,,,
November,,,,,,,,,,0.36,1.07,0.82,4.04,,,,,,,
December,,,,,,,,,,1.72,0.37,1.1,2.07,,,,,,,
Total,,,,,,,,,,,13.74,15.16,24.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Tettenhall WW. Altitudes match. Height of gauge above ground is 180 ft, which does not seem right as there appears to be no major buildings in the WW, but readings do differ significantly from the other gauge",,,,,,,,,,,,,,,,,,,,
