WOLVERHAMPTON-WW-TETTENHALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ859028,Long,-2.2097189,Lat,52.622778,Elevation,468,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.56,1.44,4.93,1.65,2.33,1.84,2.55,0.91,3.18,2.94,2.86,4.98,3.95,4.19,3.54,4.43,2.35,1.64,2.06,2.2,4.22,1.45,0.62,2.05,2.35,0.95,1.29,2.42,3.08,1.46,1.58,3.21,5.55
February,,,,,,,,,2.56,0.46,0.91,2.3,0.16,3.35,0.29,2.41,2.47,3.62,0.65,0.92,2.87,2.87,1.07,1.42,1.89,1.87,2.36,1.71,1.1,0.59,4.09,2.43,0.47,1.54,2.17,1.55,0.56,2.29,3.84,0.34,2.28
March,,,,,,,,,1.9,0.16,2.68,0.09,2.19,2.51,2.37,0.64,1.71,2.2,0.49,1.47,1.68,2.42,1.74,0.9,0.55,1.03,0.75,5.58,1.23,1.95,0.8,4.67,1.84,1.01,2.18,2.91,1.04,2.39,1.18,2.01,1.43
April,,,,,,,,,0.97,0.57,2.62,3.91,3.53,0.86,2.4,3.56,2.05,2.52,0.16,1.59,3.01,1.35,1.26,1.2,1.73,0.82,1.42,1.9,1.76,2.02,1.9,2.22,2.09,2.81,0.49,1.37,1.81,0.14,0.64,3.7,1.05
May,,,,,,,,,0.43,2.01,2.34,4.06,5.74,1.46,1.01,1.17,1.07,2.29,1.67,1.59,3.01,3.46,3.9,2.86,0.91,3.54,2.41,2.63,2.03,2.54,1.55,2.83,3.36,2.26,2.72,3.98,0.65,1.31,1.85,0.65,1.4
June,,,,,,,,,2.55,1.66,1.03,3.83,0.67,2.6,1.27,3.44,3.55,0.79,1.59,1.5,0.81,1.19,0.78,1.72,1.7,2.92,1.94,1.3,3.65,0.34,1.91,1.29,2.17,2.99,2.82,2.3,2.46,1.91,4.22,1.34,2.17
July,,,,,,,,,1.17,1.92,5.41,4.02,5,2.2,1.12,0.48,6.68,2.68,3.43,4.9,2.6,2.65,2.16,1.62,2.51,2.06,2.05,4.94,1.81,2.73,2.49,1.06,0.76,2.98,3.48,0.81,2.8,3.17,4.36,1.39,3.82
August,,,,,,,,,2.53,2.02,2.43,5.14,2.81,0.9,2.29,1.66,0.55,1.25,3.84,2.33,0.42,3.76,2.02,1.93,2.34,2.29,6.16,1.13,5.81,1.88,2.69,4.2,3.8,2.78,4.97,0.9,4.84,3.84,2.43,2.88,2.71
September,,,,,,,,,0.71,0.71,3.39,2.51,2.63,0.97,1.77,3.5,3.46,2.67,2.07,0.78,0.91,0.97,1.29,2.42,2.76,1.54,4.02,1.18,2.5,1.2,4.25,2.99,1.7,2.49,2.29,2.14,2.45,4.27,3.61,0.22,5.37
October,,,,,,,,,4.38,4,2.94,1.03,4.28,5.06,1.84,3.93,1.65,2.43,2.49,3.78,3.47,2.32,2.68,1.85,3.38,3.4,0.74,0.49,2.56,4.62,0.95,1.06,3.92,1.93,3.48,1.64,2.16,1.63,2.19,2.73,5.75
November,,,,,,,,,3.85,6.08,3.2,3.55,1.97,0.93,2.21,5.36,2.55,1.59,3.24,4.92,6.62,2.86,1.01,2.01,4.48,0.49,5.04,2.06,1.57,2.89,4.41,6.52,2.28,1.71,4.93,2.41,0.82,2.06,1.93,3.64,4.2
December,,,,,,,,,1.79,4.78,3.01,0.79,0.83,0.44,4.72,2.74,2.39,2.23,3.08,1.96,1.72,1.59,3.19,1.11,1.7,2.59,2.98,2.21,4.4,1.15,1.94,2.5,3.06,1.21,2.59,1.9,2.82,1.22,2.38,4.07,2.99
Total,,,,,,,,,27.4,25.81,34.89,32.88,32.14,23.12,23.84,29.8,31.31,27.21,25.57,30.72,31.07,29.63,24.64,23.47,26.3,24.19,31.93,27.33,32.64,23.36,27.6,33.82,27.8,24.66,33.41,24.33,25.49,25.69,30.21,26.18,38.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record sheet and is Tettenhall water works. Altitudes match. NGR could be 100m W to match relationships to church and NGR on record before being amended.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
