NEWCASTLE (KING'S COLLEGE) + (ARMSTRONG COLLEGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NZ233659,Long,-1.6374171,Lat,54.987153,Elevation,289,ft,,,,,,,,,,,,
Station no,3561/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.39,4.32,2.62,,,,,,,,
February,,,,,,,,,,1.98,5.93,2.28,,,,,,,,
March,,,,,,,,,,2.29,2.61,1.15,,,,,,,,
April,,,,,,,,,,1.14,1.29,,,,,,,,,
May,,,,,,,,,,0.81,1.85,,,,,,,,,
June,,,,,,,,,,1.07,2.69,,,,,,,,,
July,,,,,,,,,,7.79,1.66,,,,,,,,,
August,,,,,,,,,,1.3,3.02,,,,,,,,,
September,,,,,,,,,,1.89,0.38,,,,,,,,,
October,,,,,,,,,,3.31,3.96,,,,,,,,,
November,,,,,,,,,,3.44,3.42,,,,,,,,,
December,,,,,,,,,1.69,2.9,0.33,,,,,,,,,
Total,,,,,,,,,,30.31,31.46,,,,,,,,,
