NEWCASTLE (KING'S COLLEGE) + (ARMSTRONG COLLEGE),,,,,,,,,,
Grid ref,NZ247650,Long,-1.6156167,Lat,54.978999,Elevation,183,ft,,
Station no,3561/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.33,4.04,2.93,1.75,3.95,
February,,,,,2.49,2.42,4.26,0.62,0.69,
March,,,,,0.56,3.1,3.24,0.26,2.84,
April,,,,,3.06,1.66,2.84,0.13,0.92,
May,,,,,1.29,2.01,2.38,3.68,1.23,
June,,,,,2.41,3.03,2.58,2.55,2.04,
July,,,,,0.68,2.42,2.53,2.15,3.07,
August,,,,,2.41,2.24,2.26,1.88,2.62,
September,,,,,3.99,2.52,1.59,2.26,1.24,
October,,,,,4.57,1.62,1.55,3.36,5.74,
November,,,,,3.62,3.34,1.54,2.22,,
December,,,,,2.06,1.23,6.22,3.72,,
Total,,,,,29.47,29.63,33.92,24.58,,
,,,,,,,,,,
Moved to Claremont Road 1939 13th November,,,,,,,,,,
