"DRUMBLADE, PUBLIC SCHOOL",,,,,,,,,,,,
Grid ref,NJ580394,Long,-2.701354,Lat,57.442966,,,,,,,
Station no,RR8569,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.14,,
February,,,,,,,,,,1.49,,
March,,,,,,,,,,5.09,,
April,,,,,,,,,,3.09,,
May,,,,,,,,,,3.40,,
June,,,,,,,,,,1.42,,
July,,,,,,,,,,3.70,,
August,,,,,,,,,,2.54,,
September,,,,,,,,,,2.93,,
October,,,,,,,,,,4.01,,
November,,,,,,,,,,3.72,,
December,,,,,,,,,,2.66,,
Total,,,,,,,,,,36.19,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.19,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
