"DRUMBLADE, PUBLIC SCHOOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ580394,Long,-2.701354,Lat,57.442966,Elevation,485,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,2.14,2.52,1.35,3.73,2.61,,,,3.86,3.89,3.93,1.56,2.26,4.67,2.81,1.63,1.47,2.44,,,,
February,,,,,,,,,,1.49,1.5,1.95,2.15,0.66,,,,1.21,1.16,1.67,1.38,0.49,3.22,6.35,2.63,5.48,2.18,,,,
March,,,,,,,,,,5.09,1.23,2.12,2.59,2.87,,,,2.19,1.42,2.63,2.7,1.94,2.47,0.74,2.03,3.66,1.4,,,,
April,,,,,,,,,,3.09,3.06,1.45,1.2,1.43,,,,2.32,1.02,3.16,3.08,1.33,4.28,2.37,1.54,2.87,2.76,,,,
May,,,,,,,,,,3.4,1.8,2.5,3.07,3.9,,,,1.69,1.77,0.76,2.72,1.65,1.54,7.66,5.26,3.7,3.58,,,,
June,,,,,,,,,,1.42,1.52,2.58,2.29,2.73,,,,3.89,2.28,3.46,0.92,1.75,2.3,1.62,1.59,1.11,4.27,,,,
July,,,,,,,,,,3.7,3.91,2.26,1.55,1.24,,,,2.96,5.72,1.87,2.89,2.04,4.31,2.41,4.57,4,1.48,,,,
August,,,,,,,,,,2.54,3.44,0.9,6,0.91,,,,4.05,4.53,2.35,2.81,2.44,2.31,6.09,4.67,1.69,1.57,,,,
September,,,,,,,,,,2.93,1.34,1.09,2.37,3.08,,,,1.52,5.17,4.05,3.25,1.64,2.89,2.97,5.09,4.58,4.3,,,,
October,,,,,,,,,,4.01,3,2.41,4.18,1.29,,,,5.12,3.11,4.82,3.02,1.8,2.23,3.67,3.78,4.04,5.5,,,,
November,,,,,,,,,,3.72,7.19,6,2.81,1.22,,,,5.39,1.58,4.74,1.21,2.5,2.89,4.39,2.37,3.24,2.58,,,,
December,,,,,,,,,,2.66,3.87,4.68,1.34,3.15,,,,2.06,2.52,3.58,2.34,2.25,1.75,3.66,1.65,3.87,2.03,,,,
Total,,,,,,,,,,36.19,34.38,29.29,33.28,25.09,,,,36.26,34.17,37.02,27.88,22.09,34.86,44.74,36.81,39.71,34.09,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Aug corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
