WOKING-HOOK-HEATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU989566,Long,-0.58238,Lat,51.3006,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.24,0.84,1.14,3.53,3.68,2.43,2.32,3.01,1.41,2.4,1.97,3.21,1.81,3.2,1.3,3.56,1.45,1.81,1.51,1.84,0.83,4.52,4.89,2.51,,
February,,,,,,4.2,3.97,0.77,0.98,2.25,0.28,0.37,2.4,3.7,0.38,3.55,1.93,4.45,1.66,0.48,0.79,1.39,0.2,3.61,0.21,2.82,1.8,3.96,0.85,,
March,,,,,,0.83,4.86,1.79,0.84,3.58,1.48,1.06,2.03,2.86,0.98,0.73,0.38,2.79,2.08,0.03,1.26,0.27,1.38,2.63,2.31,0.19,1.1,3.5,0.26,,
April,,,,,,1.11,0.99,1.7,3.56,2.25,3.47,0.66,2.81,2.25,3.21,2.51,2.99,1.94,2.45,0.77,1.84,4.1,2.24,0.82,1.9,3.25,2.19,2.39,0.16,,
May,,,,,,3.6,1.59,1.52,2.25,0.15,0.56,1.6,0.7,2.71,2.72,1.98,1.77,1.19,1.8,2.1,2.63,2.89,3.8,3.3,0.65,1.38,0.75,2.37,1.47,,
June,,,,,,1.06,1.54,2.72,1.11,1.12,1.18,0.15,1.02,0.28,3.02,0.02,3.02,2.5,2.39,1.44,1.99,1.91,0.82,1.21,1.37,2.91,3.54,2.14,0.56,,
July,,,,,,3.64,0.77,4.9,6.07,2.69,4.63,0.47,3.06,1.45,4.05,3.18,1.78,2.21,1.98,1.28,2.05,3.3,2.47,1.6,2.62,1.47,3.4,0.94,1.22,,
August,,,,,,2.1,4.28,4.49,0.92,2.42,1.35,0.72,2.63,1.61,2.63,3.76,1.03,3.06,2.42,2.13,2.9,4.73,0.88,0.52,2.08,3.05,1.44,1.23,1.48,,
September,,,,,,2.32,1.81,1.05,5.34,1.64,2.09,1.24,1.45,1.49,3.61,3.06,1.61,4.54,1.09,0.17,2.78,1.73,1.98,2.25,1.42,3.81,2.62,1.77,1.68,,
October,,,,,,2.24,4.31,3.39,1.29,0.66,1.76,0.79,0.91,6.09,3.81,3.19,2.32,1.27,4.59,3,1.02,0.59,4.57,2,1.66,3.47,2.18,2.88,2.58,,
November,,,,,,2.56,4.33,0.85,2.61,1.39,1.01,1.63,1.31,1.61,2.48,1.83,4.69,2.96,1.61,6.15,4.62,2.96,0.94,0.93,2.47,4.94,2.95,1.59,3.09,,
December,,,,,,5.62,1.71,1.37,2.06,4.54,2.13,1.55,3.75,2.21,3.44,2.89,0.27,4,2.42,6.46,2.21,0.63,0.53,0.37,5.92,2.68,1.98,4.28,2.36,,
Total,,,,,,33.52,31,25.69,30.56,26.37,22.37,12.56,25.08,27.67,32.73,28.67,25,32.72,27.69,25.31,27.65,25.95,21.62,20.75,24.45,30.8,28.47,31.94,18.22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at Ridge End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
