GLENORCHY (AIRIDH CASTULUAICH),,,,,,,,,,,,
Grid ref,NN256342,Long,-4.832549,Lat,56.467560,,,,,,,
Station no,5408/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,7.66,17.61,10.49,3.03,4.67,,
February,,,,,,4.99,7.00,5.32,5.86,8.46,,
March,,,,,,5.47,9.42,2.12,7.91,3.88,,
April,,,,,,3.84,5.02,4.51,6.50,9.69,,
May,,,,,,7.32,2.80,6.66,2.70,4.30,,
June,,,,,,5.51,6.04,2.68,4.94,3.97,,
July,,,,,,6.57,7.11,4.12,8.64,5.59,,
August,,,,,,6.84,8.08,8.72,5.32,5.58,,
September,,,,,,7.52,5.75,7.37,2.70,4.88,,
October,,,,,9.10,9.89,15.88,9.30,12.50,4.55,,
November,,,,,5.36,8.46,5.47,2.35,10.70,10.33,,
December,,,,,19.18,14.53,15.21,10.71,13.97,12.63,,
Total,,,,,,88.60,105.39,74.35,84.77,78.53,,
Calc annual,0.00,0.00,0.00,0.00,33.64,88.60,105.39,74.35,84.77,78.53,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
