"BIGGINS HOUSE, KIRKBY LONSDALE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD601782,Long,-2.6125,Lat,54.1984,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,4.53,3.39,5.86,6.31,4,5.26,4.8,2.64,7.62,6.78,6.5,6.35,2.23,7.15,5,1.16,0.54,0.52,4.05,6.37,7.51,2.5,,,,
February,,,,,2.33,3.42,6.1,4.85,4.92,7.91,2.08,4.19,4.73,0.25,2.01,0.95,5.8,4.5,2.3,1.95,3.4,4.51,5.48,2.89,2.22,3.62,,,,
March,,,,,4.02,2.12,2.38,1.92,7.25,0.9,1.83,1.85,4.8,3,4.33,1.3,4.3,4.45,2.4,3,3.15,4.55,7.2,1.35,3.51,3.6,,,,
April,,,,,1.84,1.9,1,5.8,2.63,3.45,2.2,3.3,2.62,0.52,1.61,1.45,2.7,2.2,2.61,1.01,1.68,1.61,4.73,2.55,1.27,2.4,,,,
May,,,,,2.91,5.08,2.18,2.45,0.65,2.78,3.29,1.59,2.42,1.9,1.59,2.9,0.78,2.53,4.36,2.41,2.7,4.6,1.75,1.8,4.02,1.75,,,,
June,,,,,5.6,0.6,4.22,2.15,0.55,1.8,1.83,3.54,7.64,3.01,0.95,4.1,3.49,3.2,3.85,4.9,4.01,4.8,5.71,4.24,0.48,3.11,,,,
July,,,,,2.85,2.88,5.53,3.4,0.95,1.5,1.68,7.4,4.4,5.82,3.21,2.91,4.49,5.4,1.73,7.5,7.2,6.9,7.72,2.35,5.1,3,,,,
August,,,,,3.15,7.1,5.95,4.4,4.94,2.5,1.81,2.9,6.76,5.8,5.85,4.4,3.76,7.8,7.23,5.15,2.02,7.73,4.55,4.85,1.77,3.2,,,,
September,,,,,5.28,1.95,10.05,5.39,2.89,9.74,3.1,3.15,10,3.74,4.83,4.3,5.44,4.1,5.64,4.15,4.02,3.12,2.92,4.57,4.83,6.21,,,,
October,,,,,2.52,6.15,3.1,4.67,4.95,3.7,7.85,6.8,7.18,8.53,7.7,3.51,1.42,8,5.31,3.51,1.6,3.18,3.56,6.3,4.12,4.56,,,,
November,,,,,4.11,-999,8.02,2.75,2.52,6.45,2.94,1.48,5.49,2.63,5.21,6.41,2.86,9.15,3,1.4,6.75,6.25,6.44,5.3,1.76,3.43,,,,
December,,,,,4.78,-999,7.24,4.05,8.69,6,2.51,4.91,4.05,2.13,2.51,2.4,6.3,4.75,2.13,2.75,6.25,5.1,5.15,5.46,6.65,3,,,,
Total,,,,,43.92,40.39,61.63,48.14,44.94,51.99,35.92,43.75,67.71,44.11,46.3,40.98,43.57,63.23,45.56,38.89,43.32,52.87,59.26,48.03,43.24,40.38,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865 Nov/Dec bracketed 5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 July 1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
