BRAES OF FOSS,,,,,,,,,,
Grid ref,NN 75100 55781,Long,-4.040137,Lat,56.677042,Elevation,1100,ft,,
Station no,5558/6,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.1,7.6,5.2,
February,,,,,,,1,5.9,5.05,
March,,,,,,,2.4,4.65,2,
April,,,,,,,10.05,3.55,3.15,
May,,,,,,,4.1,3.95,3.1,
June,,,,,,,3.75,5.3,1.05,
July,,,,,,,3.3,2.45,1.35,
August,,,,,,4.55,0.2,7.25,4.4,
September,,,,,,8,3.15,6.35,1.4,
October,,,,,,0.85,3.05,5.08,,
November,,,,,,3.55,5.65,3.75,,
December,,,,,,6.1,1.6,8.5,,
Total,,,,,,,44.35,64.33,,
,,,,,,,,,,
Location and Elevation approx,,,,,,,,,,
BR 1947 Printed with (),,,,,,,,,,
1947 Jan -May Jul-Nov apportioned,,,,,,,,,,
BR 1948 Printed,,,,,,,,,,
1948 nearly all months bracked as being apportioned,,,,,,,,,,
,,,,,,,,,,
Station no,5558/6,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
