MANSE OF FOSS,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 78866 58248,Long,-3.979875,Lat,56.700188,Elevation,500,ft,,,,,,,,,,,,,
Station no,5561,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,6.94,7.37,5.39,2.48,4.86,,,13.57,1.19,7.07,4,7.18,,,,,,,,
February,,1.59,4.92,10.68,1.42,5.91,,,4.31,2.69,0.75,3.08,0.13,,,,,,,,
March,,5.54,2.11,1.89,0.55,1.45,,,6.38,0.59,2.58,0.71,2.33,,,,,,,,
April,,0.63,2.58,2.91,2.76,4.79,,,1.73,1.84,1.39,2.07,3.5,,,,,,,,
May,,2.96,2.48,2.51,3.65,5.81,,,1.07,3.41,2.33,2.07,2.21,,,,,,,,
June,,0.6,1.33,0.83,2.29,0.39,,,3.25,1.85,1.81,6.2,,,,,,,,,
July,3.16,2.32,2.66,2.57,3.97,1.82,,,1.56,2.45,2.6,3.32,,,,,,,,,
August,3.42,5.07,1.66,4.94,3.67,3.07,,,5.87,3.03,6.37,2.17,,,,,,,,,
September,1.84,1.67,1.8,3.34,4.9,2.87,,3.94,3.84,1.02,4.43,1.72,,,,,,,,,
October,3.72,2.6,1.29,5.22,3.85,3.99,,5.13,6.91,5.66,5.47,2,,,,,,,,,
November,6.08,3.01,2.08,3.34,2.98,0.68,,3.88,5.31,6.26,5.57,7.3,,,,,,,,,
December,4.68,6.43,5.84,2.39,8.37,4.5,,1.52,4.65,10.43,4.86,4.21,,,,,,,,,
Total,,39.36,36.12,46.01,40.89,40.14,,,58.45,40.42,45.23,38.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5561,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
