OAKAMOOR-LIGHTOAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK045443,Long,-1.9344032,Lat,52.996008,Elevation,650,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,3.46,4.02,3.91,2.96,2.83,2.65,3.79,3.37,7.24,2.13,4.43,3.48,3.49,2.3,2.9,1.37,3.92,4.13,4.49,6.01,2.1,2.35,3.36,5.35,4.02,2.39,3.07,2.07,,,
February,3.1,0.18,3.44,5.37,0.98,4.85,3.45,2.25,3.59,0.68,0.66,3.66,0.12,3.94,0.32,3.7,2.04,5.92,1.39,1.88,2.55,3,1.67,1.48,1.59,3.22,5.91,0.61,,,
March,2.28,1.87,2.64,2.12,1.65,1.11,1.4,3.71,2.41,0.44,2.98,0.12,2.16,2.71,2.4,0.99,1.98,2.36,0.67,2.19,2.33,3.49,1.9,0.97,0.38,1.36,0.92,5.47,,,
April,5.59,1.24,1.99,2.83,3.05,2.56,1.28,2.95,1.54,0.91,3.13,4.18,3.4,1.26,1.89,3.48,1.7,2.77,0.17,2.21,2.52,1.62,1.72,1.28,2.84,2.25,1.14,2.51,,,
May,3.91,1.84,0.84,3.35,4.44,5.81,3.9,1.88,0.62,1.91,2.41,3.07,4.97,1.64,1.2,0.6,0.2,2.65,2.02,1.97,1.3,2.63,4.05,3.32,1.24,3.61,1.68,2.27,,,
June,3.46,0.43,1.1,0.89,2.87,0.06,2.5,6,4.56,1.84,2.5,5.17,0.85,2.23,1.01,4.39,3.36,1.3,2.31,2.26,1.05,0.85,0.15,3.09,2.68,4.05,2.97,1.41,,,
July,5.57,1.06,4.83,6.54,5.04,2.31,2.41,3.91,1.79,3.14,6.52,4.65,3.34,4.32,1.4,0.95,7.65,2.57,3.68,5.76,3.45,4.37,3.13,1.79,4.03,1.77,3.09,4.34,,,
August,1.8,4.65,4.49,4.46,5.66,4.66,3.03,5.19,4.61,3.95,4.35,5.92,1.52,0.7,3.2,1.99,2.22,1.01,2.69,1.65,0.86,5.24,2.82,3.42,2.22,3.09,6.39,1.09,,,
September,2.5,1.33,3.67,3.96,3.88,4.26,1.63,4.35,0.91,1.18,4.02,3.32,3.09,1.44,2.42,5.05,4.88,1.7,2.39,1.19,2.51,0.52,1.74,3.94,3.81,1.63,5.8,1.68,,,
October,2.05,2.75,0.54,3.19,4.96,5.17,2.71,3.02,4.86,4.66,5.01,1.09,5.66,5.83,2.97,5.74,3.22,2.08,3.59,3.76,4.39,3.76,3.46,2.45,4.68,5.25,0.93,0.49,,,
November,0.94,2.1,1.59,2.6,1.98,2.08,5.32,3.6,5.38,8.45,3.72,5.61,2.55,1.77,1.99,5.37,4.02,1.6,4.2,5.38,7.84,3.25,0.92,2.92,5.71,0.24,6.24,3.26,,,
December,3.1,2.82,4.59,4.76,3.31,2.47,1.13,1.87,3.03,5.94,3.68,1.74,1.4,0.29,6.46,4.47,2.68,3.89,4.22,2.02,3.72,1.67,3.4,1.7,2.48,3.13,4.28,3.15,,,
Total,37.76,24.29,33.63,43.03,40.65,37.99,32.55,42.1,40.54,35.23,43.41,42.01,32.55,28.43,28.16,38.1,37.87,31.98,31.82,36.28,34.62,32.75,28.32,31.71,35.68,31.99,42.42,28.35,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is near Lightoaks at the correct altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
