OAKAMOOR-WOODBANK-FIRST,,,,,,,,,,,,,,,,,,,,
Grid ref,SK051447,Long,-1.9254576,Lat,52.999599,Elevation,500,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.6,1.84,2.45,1.38,3.71,3.8,2.35,4.59,2.07,2.72,1.98,
February,,,,,,,,,2.56,0.64,3.34,2.63,1.35,1.09,2.32,3.66,4.18,1.35,2.38,
March,,,,,,,,,2.63,2.68,0.61,1.67,4.45,5.18,4.75,1.36,3.19,1.69,1.77,
April,,,,,,,,,2.44,1.92,2.51,1.74,0.36,4.13,1.33,1.13,3.07,1.94,1.13,
May,,,,,,,,,2.66,1.57,2.22,0.83,1.83,2.72,2.85,1.42,1.85,3,4.17,
June,,,,,,,,,2.94,2.81,1.58,3.58,4.68,1.92,1.51,1.81,2.11,3,1.62,
July,,,,,,,,,3.31,3.81,4.07,0.37,3.03,0.58,6.51,5.62,2.89,1.95,4.11,
August,,,,,,,,,3.59,2.29,4.69,1.73,7.32,2.06,3.12,3.31,2.73,6.28,2.37,
September,,,,,,,,,2.91,2.5,0.45,1.97,1.61,1.33,2.02,0.57,1.73,1.62,7.1,
October,,,,,,,,,0.99,5.5,1.72,2.21,3.71,3.36,2.76,2.38,4.22,5.83,1.85,
November,,,,,,,,,2.06,0.89,6.76,2.27,3.1,2.55,4.25,2.48,3.16,3.28,2.38,
December,,,,,,,,,1.9,5,5.45,5.38,2.92,1.42,6.63,6.04,3.12,0.86,5.36,
Total,,,,,,,,,29.59,31.45,35.85,25.76,38.07,30.14,40.4,34.37,34.32,33.52,36.22,
,,,,,,,,,,,,,,,,,,,,
"NGR is Woodbank but the gauge moved several times during it's life up to 0.5 miles SW with stated altitude up to 700 ft. The observer is the same as for Lightoaks and the Woodbank gauge appears to have moved around the locality of Lightoaks and may be the same location as Lightoaks for part of the time. NGR varies and could be up to 1km, S, to SW. The 2 Woodbank gauges may not be in the same location",,,,,,,,,,,,,,,,,,,,
