"ELSTREE (ALDENHAM SCHOOL)",,,,,,,,,,,,
Grid ref,TQ158973,Long,-0.327148,Lat,51.662560,,,,,,,
Station no,904/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.96,0.86,0.91,,,,,,,,
February,,0.76,1.78,2.33,,,,,,,,
March,,2.88,0.58,2.34,,,,,,,,
April,,1.74,2.67,0.25,,,,,,,,
May,,1.58,1.43,1.81,,,,,,,,
June,,1.41,2.01,4.97,,,,,,,,
July,,0.62,3.75,2.63,,,,,,,,
August,,4.50,2.09,2.73,,,,,,,,
September,,3.70,1.95,2.02,,,,,,,,
October,,2.93,2.85,2.25,,,,,,,,
November,,3.44,1.63,5.60,,,,,,,,
December,,2.59,0.53,1.74,,,,,,,,
Total,,28.11,22.13,29.58,,,,,,,,
Calc annual,0.00,28.11,22.13,29.58,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
