BENNINGTON-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL3107622404,Long,-0.096942,Lat,51.884795,Elevation,408,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.11,2.24,3.27,1.52,0.79,1.1,2.51,2.1,0.7,1.69,2.11,2.17,0.66,2.13,0.58,2.24,2.67,0.66,0.6,2.27,2.44,1.42,3.47,1.03,1.14,0.86,1.49,1.39,3.44,2.71,0.88,3.48,1.44,1.66,2.56,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.58,2.2,0.31,0.77,1.05,1.98,0.73,0.07,1.63,2.91,1.85,0.27,0.47,2.48,0.91,1.77,3.91,1.08,0.91,0.82,2.82,0.81,1.66,1.4,1.12,0.49,2.73,1.2,1.44,0.7,2.35,3.07,3.19,0.8,0.89,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.12,0.86,1.57,1.36,2.83,1.43,2.87,1.87,1.22,0.39,1.06,1.68,3.34,3.18,1.37,0.66,0.66,1.74,1.18,2.88,1.24,2.69,1.51,1,2.54,3.26,0.84,1.94,3.31,1.95,3.88,1.19,3.86,1.68,0.98,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.95,2.66,1.76,1.03,2.14,2.89,1.19,0.94,0.86,0.08,1.8,1.11,0.64,1.26,1.72,2.68,1.21,1.89,0.67,1.58,0.8,1.72,0.46,2.86,2.58,1.57,2.17,1.02,0.1,2.47,0.77,0.97,1.34,2.14,3.74,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.39,2.57,5.16,2.69,1.05,4.22,1.68,3.4,1.61,1.2,1.84,0.47,0.25,1.64,3.18,2.59,1.08,1.15,2.1,1.95,1.56,0.85,0.96,2.37,1.56,1.36,2.25,2.37,1.34,1.52,1.73,2.11,2.38,1.73,2.09,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.16,2.02,0.4,0.77,1.82,2.09,2.8,1.05,2.98,0.58,1.67,0.35,2.34,1.99,2.21,1.61,2.4,0.82,2.64,5.08,0.8,3.32,3.35,2.06,0.96,4.03,3.26,3.26,2.92,1.52,1.72,0.99,2.49,1.31,0.64,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,4.19,0.26,2.65,0.78,4.2,4.93,4.47,1.95,3.09,2.74,2.82,4.06,1.2,0.62,1.13,1.9,1.03,3.62,1.46,5.12,3.67,1.78,0.57,2.08,2.36,3.24,1.94,0.38,1.63,2.05,2.1,4.38,1.07,3.67,3.59,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.5,1.91,1.09,1.16,3.03,2,2.64,3.42,3.61,2.73,2.48,3.37,2.98,2.52,1.16,1.59,2.89,1.95,3.16,3.98,2.51,3.68,1.18,1.75,3.21,2.14,1.86,0.52,4.97,1.24,1.24,2.49,3.41,5.55,1.04,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.57,3.59,1.44,3.05,0.99,2.13,0.54,1.12,2.41,0.88,1.64,0.96,6.26,2.9,0.29,2.28,0.59,1.07,1.34,2.36,1.24,1.68,1.19,0.52,1.37,1.96,0.81,1.32,2.49,1.25,1.09,1.95,1.1,1.88,4.5,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.38,4.95,2.95,1.65,1.02,3.99,1.76,5.31,3.87,3.56,2.48,2.1,3.43,0.79,3.16,2.3,2.07,1.54,1.26,5.46,1.2,1.41,4,3.11,1.19,4.3,2.5,2.69,2.49,3.18,2.1,1.82,3.25,4.62,1.53,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
