DUNFORD BRIDGE (STONEY GATE),,,,,,,,,,,,
Grid ref,ZZ999999,Long,NaN,Lat,NaN,,,,,,,
Station no,3162/4/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.39,7.58,2.83,5.29,3.46,7.53,4.62,6.29,5.77,6.69,,
February,5.74,2.46,2.54,4.13,3.00,2.28,4.70,7.22,0.46,4.39,,
March,7.29,2.70,3.68,3.35,3.74,2.71,4.35,3.69,2.53,2.53,,
April,3.55,3.42,4.37,0.87,2.34,3.34,0.49,1.75,6.68,3.28,,
May,4.44,2.67,2.89,5.35,5.16,1.63,1.88,4.40,1.70,2.40,,
June,1.12,2.83,4.35,2.68,3.83,3.89,1.33,5.89,2.12,2.09,,
July,3.25,2.23,5.87,5.65,1.21,10.00,4.76,5.43,3.74,7.30,,
August,6.76,3.40,4.95,7.36,0.98,11.10,7.72,4.10,1.18,4.93,,
September,3.34,6.02,3.59,6.34,2.15,4.97,6.82,4.76,0.22,4.31,,
October,1.12,7.66,2.68,8.48,3.85,3.84,6.14,4.70,4.88,8.36,,
November,12.51,3.70,4.65,9.20,2.82,3.23,3.71,1.54,6.68,8.01,,
December,10.60,4.79,2.63,10.30,8.10,7.19,7.97,5.86,11.26,7.99,,
Total,66.11,49.46,45.03,69.00,40.64,61.71,54.49,55.63,47.22,62.28,,
Calc annual,66.11,49.46,45.03,69.00,40.64,61.71,54.49,55.63,47.22,62.28,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
