DUNFORD-BRIDGE-STONEY-GATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE157021,Long,-1.7647045,Lat,53.515346,Elevation,1090,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3162/4/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.94,7.49,3.51,5.16,4.44,7.72,10.9,5.59,7.33,5.44,13.4,2.83,3.79,6.39,7.58,2.83,5.29,3.46,7.53,4.62,6.29,5.77,6.69
February,,,,,,,,3.12,6.33,2.83,6.99,1.39,5.04,3.29,6.93,9.25,3.44,4.67,3.66,9.92,5.74,2.46,2.54,4.13,3,2.28,4.7,7.22,0.46,4.39
March,,,,,,,,2.07,4.44,4.55,6.95,3.16,2.51,1.03,1.67,2.48,8.03,2.23,2.04,2.9,7.29,2.7,3.68,3.35,3.74,2.71,4.35,3.69,2.53,2.53
April,,,,,,,,0.79,3.39,4.12,3.6,3.04,3.83,3.58,3.08,2.24,5.49,3.01,5.84,5.81,3.55,3.42,4.37,0.87,2.34,3.34,0.49,1.75,6.68,3.28
May,,,,,,,,3.95,2.68,1.13,4.01,4.21,3.41,4.1,4.16,2.68,3.98,2.62,3.18,3.14,4.44,2.67,2.89,5.35,5.16,1.63,1.88,4.4,1.7,2.4
June,,,,,,,,4.99,3.3,0.85,1.88,1.05,3.91,2.61,4.18,4.52,3.38,5.59,1,2.05,1.12,2.83,4.35,2.68,3.83,3.89,1.33,5.89,2.12,2.09
July,,,,,,,,4.53,7.61,4.63,2.34,5.65,2.42,3.32,2.04,5.08,2.29,1.49,3.4,2.83,3.25,2.23,5.87,5.65,1.21,10,4.76,5.43,3.74,7.3
August,,,,,,,,3.85,1.99,2.19,6.99,5.7,6.15,5.11,3.67,5.04,0.38,5.53,3.75,3.96,6.76,3.4,4.95,7.36,0.98,11.1,7.72,4.1,1.18,4.93
September,,,,,,,,2.44,2.37,4.93,0.79,3.6,4.94,6.24,2.71,7.51,2.36,2.19,2.24,7.6,3.34,6.02,3.59,6.34,2.15,4.97,6.82,4.76,0.22,4.31
October,,,,,,,,12.69,4.4,5.8,6.68,7.58,2.81,5.91,8.52,2.35,1.36,3.28,4.96,3.15,1.12,7.66,2.68,8.48,3.85,3.84,6.14,4.7,4.88,8.36
November,,,,,,,,7.5,10.28,10.82,4.57,1.97,4.61,9.15,0.79,10.57,7.86,2.44,10.02,8.35,12.51,3.7,4.65,9.2,2.82,3.23,3.71,1.54,6.68,8.01
December,,,,,,,,5.23,5.78,5.94,3.71,4.68,3.22,5.8,3.89,5.22,7.01,5.04,11.65,3.26,10.6,4.79,2.63,10.3,8.1,7.19,7.97,5.86,11.26,7.99
Total,,,,,,,,59.1,60.06,51.3,53.67,46.47,50.57,61.04,47.23,64.27,51.02,51.49,54.57,56.76,66.11,49.46,45.03,69,40.64,61.71,54.49,55.63,47.22,62.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record, the NGR modifed in 1978.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The NGR appears to be a house called Stoney House. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1940 and Feb 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
