STRATHDON SCHOOL HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ349126,Long,-3.079048,Lat,57.199542,Elevation,980,ft,,,,,,,,,,,,
Station no,RR8566,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.56,1.78,2.98,1.41,1.67,2.21,2.29,1.78,3,3.39,1.12,,,,,,,,
February,,4.09,0.89,4.32,3.9,2.68,4.46,2.96,3.05,1.42,2.53,2.41,,,,,,,,
March,,3.7,2.06,2.86,1.62,4.36,3.06,1.54,4.65,7.5,2.61,2.24,,,,,,,,
April,,2.08,2.28,3.54,2.15,3.58,1.97,3.32,3.39,3.7,4.04,1.62,,,,,,,,
May,,2.28,5.16,2.54,2.83,1.11,6,5.63,1.03,2.95,2.19,1.93,,,,,,,,
June,,4.45,4.01,1.49,0.88,1.61,1.04,4.59,1.04,2.16,1.55,3.03,,,,,,,,
July,,2.16,3.81,4.35,1.67,2.37,1.67,2.25,3.58,3.38,2.42,1.46,,,,,,,,
August,,3.32,2.91,4.45,3.53,4.64,3.33,3.43,2.58,2.07,4.81,1.74,,,,,,,,
September,,1.51,2.08,2.8,1.98,1.75,1.67,1.19,4.27,2.21,0.91,0.55,,,,,,,,
October,,2.92,2.62,6.26,1.13,4.54,4.81,4.27,1.53,4.06,3.55,2.95,,,,,,,,
November,,2.43,4.37,3.51,1.59,7.53,8.55,2.33,1.9,2.59,6.4,6.79,,,,,,,,
December,,4.84,5.49,2.62,2.51,0.65,3.41,3.89,2.16,2.53,6.17,5.36,,,,,,,,
Total,,37.34,37.46,41.72,25.2,36.49,42.18,37.69,30.96,37.57,40.57,31.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8566,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
