STRATHDON SCHOOL HOUSE,,,,,,,,,,,,
Grid ref,NJ349126,Long,-3.079048,Lat,57.199542,,,,,,,
Station no,RR8566,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.56,1.78,2.98,1.41,1.67,2.21,2.29,1.78,3.00,,
February,,4.09,0.89,4.32,3.90,2.68,4.46,2.96,3.05,1.42,,
March,,3.70,2.06,2.86,1.62,4.36,3.06,1.54,4.65,7.50,,
April,,2.08,2.28,3.54,2.15,3.58,1.97,3.32,3.39,3.70,,
May,,2.28,5.16,2.54,2.83,1.11,6.00,5.63,1.03,2.95,,
June,,4.45,4.01,1.49,0.88,1.61,1.04,4.59,1.04,2.16,,
July,,2.16,3.81,4.35,1.67,2.37,1.67,2.25,3.58,3.38,,
August,,3.32,2.91,4.45,3.53,4.64,3.33,3.43,2.58,2.07,,
September,,1.51,2.08,2.80,1.98,1.75,1.67,1.19,4.27,2.21,,
October,,2.92,2.62,6.26,1.13,4.54,4.81,4.27,1.53,4.06,,
November,,2.43,4.37,3.51,1.59,7.53,8.55,2.33,1.90,2.59,,
December,,4.84,5.49,2.62,2.51,0.65,3.41,3.89,2.16,2.53,,
Total,,37.34,37.46,41.72,25.20,36.49,42.18,37.69,30.96,37.57,,
Calc annual,0.00,37.34,37.46,41.72,25.20,36.49,42.18,37.69,30.96,37.57,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
