"BRECHIN (STRACATHRO HOSPITAL)",,,,,,,,,,,,
Grid ref,NO626655,Long,-2.613649,Lat,56.779559,,,,,,,
Station no,5611,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.69,1.53,0.65,1.32,0.93,4.02,2.71,3.22,1.34,5.73,,
February,3.08,0.58,0.90,3.24,2.68,1.18,3.07,2.50,0.22,2.87,,
March,2.14,3.72,0.39,2.26,1.31,1.70,2.63,6.03,1.39,2.15,,
April,1.79,0.60,3.22,1.08,0.69,0.93,0.84,1.73,2.46,2.47,,
May,1.24,2.94,2.45,2.73,1.75,0.49,1.78,2.80,1.12,1.13,,
June,1.92,2.27,2.08,2.00,0.63,3.14,1.55,2.22,4.44,2.09,,
July,3.45,1.75,3.83,3.17,0.66,4.81,5.41,5.28,2.70,2.79,,
August,3.96,3.41,2.48,2.63,0.38,4.88,5.63,4.47,0.68,4.58,,
September,1.82,0.50,2.29,2.35,1.53,4.75,2.13,2.77,0.76,3.07,,
October,0.75,2.70,1.21,5.92,2.31,1.84,1.27,1.96,3.41,8.72,,
November,8.58,2.15,2.52,5.81,2.45,0.72,1.26,0.93,5.51,4.61,,
December,2.17,2.05,3.00,3.34,5.17,4.33,4.82,4.94,6.38,2.73,,
Total,35.59,24.20,25.02,35.85,20.49,32.79,33.10,38.85,30.41,42.94,,
Calc annual,35.59,24.20,25.02,35.85,20.49,32.79,33.10,38.85,30.41,42.94,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
