"CARLISLE SCOTBY - 4"" gauge",,,,,,,,,,
Grid ref,NY441541,Long,-2.8727499,Lat,54.878518,Elevation,155,ft,,
Station no,RR6090,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,3.65,,5.24,,
February,,,,,,0.93,,2.55,,
March,,,,,,0.55,,1.75,,
April,,,,,,0.65,,1,,
May,,,,,,1.49,,1.88,,
June,,,,,,2.35,,2.76,,
July,,,,,,3.75,,4.25,,
August,,,,,,2.24,,7.07,,
September,,,,,,2.21,,1.8,,
October,,,,,,3.14,,4.09,,
November,,,,,,2.96,,6.29,,
December,,,,,,2.05,,3.13,,
Total,,,,,,25.97,,41.81,,
,,,,,,,,,,
1875 Jan,,,,,,,,,,
