RIVELIN (OAKING CLOUGH) NO 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK246862,Long,-1.631727,Lat,53.372093,Elevation,1135,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.18,3.93,2.5,4.58,6.72,5.4,7.71,3.86,5.36,4.23,6.1,6.34,4.5,5.55,4.17,8.73,2.25,2.19,4.58,4.78,1.69,4.3,2.95,6.91,3.02,4.6,3.92,5.96
February,,,6.35,0.64,6.8,4.18,7.69,2.24,3.32,3.48,5.08,1.66,3.03,3.22,5.08,6.37,3.84,3.07,2.45,6.59,4.29,1.51,2.5,3.18,3.15,1.83,3.67,6.05,0.35,3.26
March,,,3.09,3.93,1.89,3.28,4.38,1.5,3.19,3.22,6.18,2.6,1.95,0.72,1.14,1.68,6.29,1.84,1.96,1.59,5.95,2.42,2.66,2.98,4.25,2.1,3.72,3.74,2.14,2.63
April,,,1.37,3.3,3.73,2.05,2.5,0.43,2.92,2.67,2.76,2.07,3.04,2.94,2.32,1.76,4.49,2.53,3.64,4.16,2.14,2.78,3.46,0.8,1.3,2.18,0.26,1.12,4.62,2.52
May,,,2.12,1.96,0.45,1.95,3.79,3.17,1.97,1.31,3.97,5.25,3.21,3.94,3.58,3.11,3.02,1.84,2.54,2.05,4.21,3.07,2.64,4.2,3.82,0.91,1.69,3.9,1.44,2.13
June,,1.27,2.34,1.48,3.97,3.8,1.72,3.38,2.82,0.73,0.91,1.1,2.88,3.03,4.38,6.13,3.13,4.75,0.77,1.71,1.32,2.3,3.46,2.82,3.77,4.56,2.01,5.1,1.55,1.68
July,,5.14,2.93,2.45,1.38,4.79,4.43,4.62,7.8,3.12,4.28,3.89,1.95,3.86,2.18,3.57,2.63,1.47,4.36,2.77,1.65,1.82,4.29,3.86,1.78,7.91,3.64,6.48,2.7,5.58
August,,2.67,0.82,1.98,2.39,2.25,1.79,2.03,3.23,1.11,4.42,4.27,3.94,3.17,2.98,5.39,0.5,5.06,2.32,3.99,5.41,2.74,4.16,8.23,0.95,7.33,7.68,3.29,0.98,5
September,,3.31,1.63,2.55,6.48,5.06,1.73,3.38,2.31,3.26,0.47,2.43,4.57,5.83,2.05,6.71,2.09,2.25,1.86,6.03,2.36,4.9,2.72,4.87,2.08,5.16,6.54,4.2,0.11,4.6
October,,6.36,6.41,5.15,8.27,5.5,3.96,7.05,5.05,4.97,5.5,5.16,2.7,4.49,7.56,2,1.01,2.58,4.27,1.96,1.41,7.11,2.53,6.07,3.25,2.49,3.28,3.82,3.48,8.49
November,,3.89,2.89,2.91,8.01,5.28,2.79,5.72,7.77,8.09,4.22,1.93,4.26,7.6,0.75,9.22,6.13,2,7.2,6.29,11.25,3.39,3.01,7.66,3.05,2,3.45,1.17,5.12,5.85
December,,1.87,0.71,5.94,5.06,4.66,4.43,5.61,2.75,4.39,2.44,3.57,2.08,4.27,2.98,4.23,6.27,4.14,7.54,2.75,5.82,3.85,2.11,7.51,5.81,5.6,4.79,5.48,6.64,4.8
Total,,,33.84,36.22,50.93,47.38,45.93,44.53,50.84,40.21,45.59,38.16,39.71,49.41,39.5,55.72,43.57,40.26,41.16,42.08,50.39,40.67,35.23,56.48,36.16,48.98,43.75,48.95,33.05,52.5
