"GLEN PROSEN (PEARSIE HOUSE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5606,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,3.54,3.49,3.31,2.91,0.81,4.02,7.97,4.35,3.21,2.34,,
February,2.23,0.18,4.00,0.26,2.58,3.49,3.40,1.17,3.59,2.88,,
March,1.36,3.01,2.48,3.33,2.14,2.15,3.50,0.71,2.62,2.22,,
April,2.70,3.01,2.06,4.51,4.12,0.73,1.70,0.45,1.17,2.39,,
May,3.96,3.73,1.47,2.62,1.09,0.96,2.39,4.14,1.42,1.82,,
June,5.82,1.20,1.65,0.93,3.44,1.89,1.75,3.91,1.43,0.37,,
July,4.60,3.40,3.13,4.11,1.88,4.94,4.70,5.55,4.70,6.21,,
August,3.95,1.31,1.41,4.06,2.06,1.88,2.88,1.33,3.58,0.76,,
September,1.06,1.68,2.13,5.08,5.62,4.07,1.80,4.58,1.71,2.34,,
October,1.21,6.24,4.35,4.17,6.92,1.96,3.18,4.75,6.87,5.41,,
November,7.45,2.14,4.03,0.82,4.65,2.87,0.45,4.62,6.32,5.68,,
December,1.69,5.49,1.92,8.28,3.80,3.12,2.74,3.99,2.65,2.53,,
Total,39.57,34.88,31.94,41.08,39.11,32.08,36.46,39.55,39.27,34.95,,
Calc annual,39.57,34.88,31.94,41.08,39.11,32.08,36.46,39.55,39.27,34.95,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
