"LEDNATHIE PEARSIE",,,,,,,,,,,,
Grid ref,NO339630,Long,-3.082588,Lat,56.753910,,,,,,,
Station no,RR1762,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.36,2.51,,
February,,,,,,,,2.47,1.52,0.55,,
March,,,,,,,,1.87,5.09,3.89,,
April,,,,,,,,3.44,1.09,4.92,,
May,,,,,,,,5.29,1.98,3.22,,
June,,,,,,,,6.04,2.25,1.21,,
July,,,,,,,,2.51,2.79,2.78,,
August,,,,,,,,3.92,3.06,1.37,,
September,,,,,,,,1.41,5.00,1.81,,
October,,,,,,,,4.26,4.42,5.27,,
November,,,,,,,,2.54,2.71,0.54,,
December,,,,,,,,4.79,4.46,3.47,,
Total,,,,,,,,,36.73,31.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.54,36.73,31.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
