ALDERNEY-HARBOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WA575079,Long,-2.20167,Lat,49.72167,Elevation,48,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,3.95,3.51,4.69,3.94,0.94,2.87,3.93,1.28,2.79,5.61,0.95,1.92,3.8,1.27,3.59,5.1,4.09,3.12,3.06,1.56,3.38,,,,,,,,
February,,2.07,1.36,2.27,0.92,1.75,1.81,0.55,1.31,2.32,1.62,2.11,1.05,1.14,1.66,2.22,5.24,1.82,1.13,2.48,1.41,2.75,,,,,,,,
March,,4.8,0.96,2.29,0.47,2.5,0.8,1.8,1.18,1.8,2.58,2.67,5,1.58,2.82,1.68,1.82,3.98,1.22,2.92,1.72,0.69,,,,,,,,
April,,2.51,0.98,2.15,0.32,0.22,3.24,2.9,1.23,2.1,1.83,0.73,1,0.51,0.58,1.76,1.9,1.65,2.02,1.75,0.48,2.42,,,,,,,,
May,,1.57,2.27,0.93,3.25,2.35,1.82,1.66,1.47,2.22,3.72,1.76,1.98,1.77,1.02,1.86,1.55,1.4,2.52,4.35,1.15,0.42,,,,,,,,
June,,0.5,2.44,2.29,2.85,1.78,1.11,1.4,1.02,1.3,4.15,2.57,1.34,2.63,0.76,2.68,0.8,0.65,0.75,1.18,0.06,1.96,,,,,,,,
July,,1.4,3.2,1.81,1.87,3.2,0.99,1.08,2.35,1.38,1.42,2.82,1.09,0.55,0.43,1.52,0.61,3.47,0.32,0.27,1.3,2.7,,,,,,,,
August,,0.69,2.91,2.4,0.41,0.89,1.69,1.07,0.89,1.08,5.01,0.85,0.69,2.12,1.62,1.95,2.68,1.27,4.47,0.32,1.45,2.1,,,,,,,,
September,,0.27,6,4.71,1.41,2.77,3.95,2.97,1.61,4.08,4,1.92,1.17,2.63,2.81,0.02,6.66,2.5,2.34,3.39,0.99,4.35,,,,,,,,
October,,4.26,5.86,4.3,7.04,4.99,1.71,4.34,1.48,5.13,3.05,1.69,4.6,3.39,0.86,7.34,1.46,3.38,4.38,2.9,4.2,3.52,,,,,,,,
November,,1.87,7.47,1.74,3.75,1.32,1.73,2.58,2.81,4.68,3.25,5.23,1.35,1.95,4.12,3.69,1.42,1.34,1.52,3.04,1.78,1.47,,,,,,,,
December,,1.11,5.93,2.14,2.47,1.82,3.66,0.95,4.14,4.71,5.12,1.69,2.02,2.78,2.61,2.26,3,1.68,5.85,5.93,4.95,1.42,,,,,,,,
Total,,25,42.89,31.72,28.7,24.53,25.38,25.23,20.77,33.59,41.36,24.99,23.21,24.85,20.56,30.57,32.24,27.23,29.64,31.59,21.05,27.18,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The first 2 sheets have location degrees which locate it at around Braye Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The altitude and gauge details match for the last sheet. The latter obs lived at Platte Saline House which would have been a short walk. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The latter obs lived at Platte Saline House which would have been a short walk. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
