HITCHIN-BANCROFT (The Chilterns),,,,,,,,,,,,,,,,,,,,
Grid ref,TL193289,Long,-0.2657044,Lat,51.945815,Elevation,300,ft,,,,,,,,,,,,
Station no,RR2110,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.83,0.57,2.54,2.33,1.27,3.43,1.04,1.5,0.78,1.68,1.11,3.72,2.87,0.94,3.27,1.19,1.65,2.65,4.04
February,,1.1,1.02,0.77,2.81,1,1.65,1.41,1.35,0.43,2.54,1.3,1.63,0.76,2.35,3.19,3.81,0.79,0.81,3.01
March,,2.4,1.04,3.29,1.34,2.63,1.93,0.98,2.77,3.13,0.91,2.05,3.11,2.17,3.62,1.39,5.03,1.7,0.79,3.2
April,,2.34,0.7,1.48,0.84,1.79,0.71,2.56,3.29,1.42,2.25,1.25,0.09,2.8,1.23,0.94,1.28,1.55,3.74,3.3
May,,1.25,1.71,3,1.6,1.8,1.03,3.02,1.29,1.61,2.28,2.49,1.55,1.91,1.21,2.06,1.79,1.96,2.35,0.33
June,,0.93,3.13,6.09,0.95,3.21,3.75,1.98,0.83,4.38,1.66,2.09,2.31,1.27,1.77,0.6,2.69,2.62,0.54,1.31
July,,2.29,2.32,4.3,3.75,1.26,0.79,1.62,2.72,3,1.72,0.37,4.35,1.85,2.06,3.55,1.21,4.95,2.43,3.03
August,3.2,1.44,4.11,3.54,2.44,3.16,1.17,1.81,2.72,1.98,1.81,1.51,5.8,1.16,1.07,2.27,2.72,5.59,0.76,2.86
September,0.38,1.2,2.29,2.1,1.11,2.03,1.43,0.62,1.61,2,0.99,0.94,2.24,1.34,0.9,1.64,1.07,1.73,5.82,1.09
October,2.15,1.51,1.52,5.37,1.18,1.44,4.17,3.59,1.66,4.22,2.76,2.34,2.14,3.26,2.74,1.76,2.53,4.16,1.48,0.79
November,1.95,0.74,1.37,2.14,1.34,2.69,3.96,2.22,0.89,0.89,3.88,2.69,1.94,2.47,2.85,2.23,3.7,1.12,2.29,1.56
December,2.61,2.97,1.34,1.93,2.17,0.86,2.44,3.35,1.85,2.89,4.28,4.96,2.48,0.94,7.27,4.68,2.99,0.52,2.15,
Total,,19,21.12,36.55,21.86,23.14,26.46,24.2,22.48,26.73,26.76,23.1,31.36,22.8,28.01,27.58,30.01,28.34,25.81,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Gauge moved August 1900, total removed as estimated",,,,,,,,,,,,,,,,,,,,
