"SHEFFIELD CHAPELTOWN POTTER HILL HIGH GREEN",,,,,,,,,,,,
Grid ref,SK332971,Long,-1.501330,Lat,53.469596,,,,,,,
Station no,RR4240,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.83,1.56,1.02,2.31,2.58,0.63,3.55,1.26,1.41,1.52,,
February,4.23,1.32,1.54,2.08,4.64,1.30,2.45,1.55,1.95,0.60,,
March,0.97,2.18,1.18,3.31,1.97,2.62,1.72,1.79,3.06,3.61,,
April,1.09,1.59,2.61,1.46,1.62,2.19,0.69,1.73,1.96,1.73,,
May,1.23,1.31,2.83,3.78,2.82,0.51,1.88,3.96,2.20,2.08,,
June,2.93,0.96,1.79,1.50,0.41,2.07,1.98,2.72,1.60,3.16,,
July,2.86,3.02,1.58,2.38,1.55,1.54,1.13,1.56,2.07,4.36,,
August,4.93,1.16,4.29,4.09,4.24,3.68,1.05,1.60,2.56,2.10,,
September,0.32,0.91,1.28,3.51,0.81,1.07,0.55,0.44,1.38,2.41,,
October,2.25,1.78,2.89,6.56,0.47,1.77,5.73,5.92,1.29,2.52,,
November,1.97,3.61,2.38,1.24,1.32,4.21,2.82,2.51,1.17,0.43,,
December,4.19,5.95,2.43,1.28,1.56,0.56,2.07,2.16,1.75,4.98,,
Total,30.80,25.35,25.82,33.50,23.99,22.15,25.62,27.20,22.40,29.50,,
Calc annual,30.80,25.35,25.82,33.50,23.99,22.15,25.62,27.20,22.40,29.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
